SITE_ID;Ecoregions;YEAR;XFC_NAT_ALG_AQM;SumNat_PFC;InsectDensity;RegionalInsectTotalLBCD;RegionalInsectReplLBCD;RegionalInsectRichLBCD;Insect_RarefiedChaoRichness;ObservedInsectRichness;RiparianPresent;SDDEPTH_CM;CatchmentsArea;MeanAnnualTemperature;MeanPrecipitation;CroplandIntensity;AnthropogenicImperviousnessSufaces;RoadsDensity;HighIntensiveLandUse;DensidadePopulational
FW08CA013;WMT;2008;0.506818181;3.636363636;1007;0.001356389;0.00137929;0.00131639;48;48;1;22.78918449;8.7156;11.52925712;1236.74774;0;0.16;1.55;0;1.98
FW08CA015;WMT;2008;0.518181819;3.818181818;1288;0.001289009;0.00151349;0.000896923;41;41;0.454545455;7.311703639;59.2677;12.91136706;428.4776597;0;0.22;1.58;0;2.17
FW08CA016;XER;2008;0.290909092;1.818181819;1122;0.001235787;0.001220955;0.001261693;46;46;1;11.45684634;45.9945;13.62212513;578.8952863;0;0.09;0.7;0.015654046;0.74
FW08CA017;XER;2008;0.647727274;4.636363636;937;0.00118447;0.001520258;0.000597972;27;27;1;27.24508296;125.8173;12.72489738;875.7139506;0;0.18;1.11;0;1.25
FW08CA020;WMT;2008;0.15;2.272727273;394;0.001189881;0.001632667;0.00069116;24;24;0.761904762;226.4588174;25135.9956;8.4075145;601.9183044;3.244988235;0.56;1.54;0.06584581;3.7
FW08CA031;XER;2008;0.261363637;2.272727273;984;0.001163103;0.001577689;0.000713638;24;24;0.727272727;36.80840374;1582.0263;14.34618031;755.1143432;0.612410805;1.13;1.79;0.251335898;25.01
FW08CA035;XER;2008;0.334090909;3.545454546;920;0.001206434;0.001334855;0.000982128;21;21;0.952380952;59.09511252;48194.757;11.8772944;827.1529355;6.711294343;0.79;1.45;0.123121069;15.72
FW08CA040;WMT;2008;0.15909091;2.818181818;523;0.001127187;0.001614773;0.000550217;28;28;0.681818182;109.0118611;22896.1044;8.186277018;551.9873776;3.562365832;0.6;1.63;0.068089312;4.01
FW08CA044;WMT;2008;0.131818182;2.636363637;210;0.001117732;0.000873647;0.001818722;15;15;0.045454545;32.93458469;2721.2193;7.294443932;396.063462;1.487906542;0.31;1.01;0.01164184;1.78
FW08CA056;WMT;2008;0.072727274;1.090909091;469;0.001192274;0.001671736;0.000629494;25;25;0.863636364;159.173211;34505.5869;9.186431938;771.2038018;2.363849374;0.5;1.4;0.059807706;3.25
FW08CA059;WMT;2008;0.202272727;1.818181818;420;0.001449044;0.001843104;0.000760768;22;22;0.727272727;115.8837366;4527.7191;8.618367796;775.7549012;0.00415441;0.61;1.48;0.052476754;3.23
FW08CA061;XER;2008;0.200000001;2.909090909;436;0.001181105;0.001351516;0.001158122;19;19;0.636363636;17.19290434;4770.0702;10.2355955;943.5489253;4.406123834;0.85;1.05;0.254505688;25.95
FW08CA063;WMT;2008;0.127272727;1.818181819;494;0.001099271;0.001437351;0.000783433;38;38;0.909090909;137.2484292;5787.5355;12.56378568;1052.383698;0.000357665;0.22;1.11;0.01883185;3.15
FW08CA067;XER;2008;0.427272727;3.363636363;652;0.001191661;0.001532522;0.000596302;33;33;1;95.19549264;5023.0161;11.64247657;1115.660341;0.045134237;1.87;1.78;0.389526922;56.39
FW08CA068;WMT;2008;0.284090909;2.727272727;574;0.001115906;0.001470975;0.000770394;38;38;0.681818182;74.54718525;18484.6176;7.631724426;459.051178;3.851553846;0.66;1.75;0.072171901;4.62
FW08CA075;WMT;2008;0.945454545;4.545454545;1030;0.001411418;0.001334175;0.001546334;52;52;1;7.89884595;2.6766;10.69601544;1261.521754;0;0.14;2.63;0;0.45
FW08CO001;XER;2008;0.590909091;3.727272727;505;0.001238908;0.001605013;0.000599458;44;34;0.136363636;15.55399523;60.4998;8.937368519;264.0960571;15.2866621;1.51;2.66;0.046115855;26.06
FW08CO003;XER;2008;0.534090909;3.181818182;526;0.001246721;0.001621152;0.000592729;74;34;0;14.71005634;115.6653;6.556113967;517.7242044;0;0.1;0.58;0;0.25
FW08CO006;XER;2008;1.218181818;3.727272727;352;0.001337079;0.001815956;0.000500657;57;32;0.047619048;19.3220317;112.0356;5.124414153;581.2260479;0.009639793;0.21;0.77;0;1.49
FW08CO010;SPL;2008;0.134090911;1.363636364;934;0.001143561;0.001158151;0.001118077;47;43;0.318181818;10.55530888;185.9751;7.659525191;676.4342559;0;0.43;1.45;0.007259036;13.38
FW08CO012;WMT;2008;0.349999999;3.727272727;512;0.001155963;0.000853993;0.001683395;62;51;0.045454545;11.87565944;54.459;6.859196877;684.004838;0;0.14;1.06;0.003305239;10.73
FW08CO013;SPL;2008;0.093181819;0.545454546;701;0.001084237;0.001264421;0.001044184;56;42;0.318181818;16.81790772;8376.7725;10.30782301;422.0426419;0.674046;0.13;0.58;0.007144757;1.7
FW08CO014;SPL;2008;0.7;4.636363637;204;0.001215076;0.001532443;0.000660753;33;25;0.5;19.36051407;108.9027;10.03550997;525.3750634;0.908241944;17.18;4.52;3.969323075;621.1
FW08CO017;WMT;2008;0.690909091;4.454545455;215;0.001388023;0.001900459;0.000492986;30;28;1;13.3010974;268.1649;3.229298224;1025.382802;0;0.23;0.59;0.000671229;0.71
FW08CO019;SPL;2008;0.409090908;3.818181818;539;0.001212052;0.001458632;0.000781367;74;38;0.363636364;6.604643301;272.3427;7.723206462;651.2312695;0;2.54;2.79;0.480828016;65.86
FW08CO020;SPL;2008;0.343181819;1.818181818;739;0.001144154;0.001463421;0.000586513;40;31;0.772727273;9.177266599;300.222;11.92347607;398.1525899;27.68271479;0.11;0.65;0.000899334;0.45
FW08CO021;XER;2008;0.225000001;1.727272728;916;0.001295211;0.00067235;0.002383119;36;12;0;14.18610431;912.1167;7.565779608;403.1762028;0;0.24;0.78;0.000690701;0.17
FW08CO025;XER;2008;0.725;1.454545455;188;0.001276628;0.000868362;0.001989718;24;14;0.318181818;118.9392052;19640.8467;4.580920674;496.131657;2.916043838;0.44;0.75;0.046895127;4.62
FW08CO027;WMT;2008;0.956818182;3.909090909;485;0.001409028;0.001928629;0.000501475;72;27;0.909090909;11.27648398;17.5212;-0.39307065;840.3403055;0;0;0.01;0;0.8
FW08CO031;SPL;2008;0.734090908;4.454545455;678;0.001144545;0.001365786;0.000758118;50;37;0.954545455;20.29246763;625.6764;4.609913006;693.8885979;0.657943947;0.86;0.87;0.086162751;21.09
FW08CO038;WMT;2008;0.363636365;3.636363636;322;0.001382154;0.001658003;0.000900347;60;42;0;34.22932171;221.895;0.832167217;709.259354;0;0.1;0.42;0;0.74
FW08CO073;XER;2008;0.229545456;1.818181819;326;0.001373874;0.001748114;0.000720215;29;23;0.136363636;17.65893484;833.1867;3.879912312;632.0787905;0.416737329;0.21;0.68;0.007453311;0.77
FW08CO076;SPL;2008;1.568181818;3.090909091;142;0.001299702;0.001138804;0.001580733;24;16;0.136363636;7.611129544;4520.6766;10.02163495;676.8571518;41.87979074;0.2;0.72;0.009157921;0.72
FW08CO103;WMT;2008;0.431818182;4.636363636;82;0.001546668;0.001858966;0.001001198;22;19;0.090909091;11.70431587;28.6794;-0.085745831;702.562018;0;0.42;0.72;0;0.6
FW08CT009;NAP;2008;0.658333334;3.333333333;180;0.0011591;0.001357551;0.000812479;50;38;0.708333333;22.54083247;54.0729;10.13252491;1309.91;0.416104925;12.07;3.81;1.810888634;272.04
FW08CT020;NAP;2008;0.620454546;3.727272726;291;0.001188664;0.001523766;0.000603365;32;27;0.727272727;92.6633965;2891.8458;8.185359846;1324.478063;1.435844193;2.42;2.3;0.415945415;55.53
FW08DE001;CPL;2008;0.772727272;3.090909092;683;0.001145978;0.000827086;0.001702964;80;51;0.523809524;14.26068977;9.6363;12.85484208;1385.317581;42.74773513;0.53;1.54;0;40.62
FW08DE002;CPL;2008;0.525;3.09090909;125;0.001269057;0.001653175;0.000598144;76;26;1;23.05023061;128.8161;13.73289039;1511.468776;42.45261268;0.94;1.88;0.100608542;31.76
FW08DE005;CPL;2008;0.222727274;2.272727273;45;0.001201884;0.000822355;0.002139444;31;13;1;29.53580262;416.7837;11.95297212;1383.412396;7.323367013;10.49;4.68;2.123979417;411.15
FW08DE008;CPL;2008;0.715;2.1;471;0.001266123;0.001665595;0.000568392;53;33;0.863636364;4.89077436;1.1727;13.54486721;1482.349679;36.68457406;0.46;1.37;0;26.88
FW08DE010;CPL;2008;0.702272729;1.272727273;164;0.001138131;0.001269076;0.001184081;20;19;0.727272727;65.75129142;575.3502;13.61817634;1544.079896;44.86185979;3.24;2.3;0.706578359;66.86
FW08DE013;CPL;2008;0.168181819;2.272727273;274;0.001126945;0.001393106;0.000662059;43;26;1;21.46212073;14.8293;12.4811671;1377.636895;0;29.23;9.61;9.273532803;837.81
FW08DE014;CPL;2008;0.854545456;3.636363636;183;0.001256208;0.001629481;0.000604237;34;26;0.85;29.30353169;315.6552;13.60485933;1512.30508;46.58225177;2.26;2.02;0.389475605;42.49
FW08DE015;CPL;2008;0.23409091;1.90909091;576;0.001221583;0.001497388;0.001014516;40;20;0.636363636;7.517094612;1.7631;13.60408374;1499.310181;41.96018377;1.95;2.5;0.051046452;29.42
FW08DE021;SAP;2008;0.2;2.909090908;74;0.001334001;0.001512338;0.001022513;85;20;0.727272727;16.98186247;15.9147;12.18818563;1381.036209;0.322343494;16.17;7.42;0.588135497;993.92
FW08FL002;CPL;2008;0.722727273;5.181818182;63;0.001351492;0.001417252;0.001236633;30;18;1;24.52383709;11.3202;19.83067957;2305.480871;0.039751948;25.22;8.81;5.215455557;554.63
FW08FL013;CPL;2008;0.177272728;2.454545455;19;0.001443603;0.000722241;0.002703557;13;10;1;6.656689504;0.5436;19.17989271;2164.978271;11.75496689;0;0;0;28.72
FW08FL016;CPL;2008;0.263636363;4.181818181;101;0.001410681;0.000796384;0.002483632;14;11;1;127.7074862;10752.7932;18.42252995;2110.65098;4.253332985;0.7;1.42;0.072985687;11.49
FW08FL017;CPL;2008;0.297727273;3.909090909;95;0.001217738;0.001586653;0.000573379;64;28;1;55.46861885;9131.4306;18.63663069;2077.735557;12.75211575;1.4;1.49;0.203360249;24.99
FW08FL018;CPL;2008;0.368181819;3.500000001;68;0.001471508;0.000148421;0.004300929;6;5;0.954545455;5.595190937;5.4495;19.54292897;1926.849818;0;0.42;1.61;0;1.66
FW08FL021;CPL;2008;0.456818181;2.999999999;311;0.001495979;0.001700365;0.001138992;29;18;0.954545455;15.09397833;145.9503;19.9806583;1373.330493;0.018499448;0.8;1.62;0.007399779;2.38
FW08FL025;CPL;2008;0.136363636;2.363636364;39;0.001247711;0.001237416;0.001540356;18;16;0.727272727;59.50452915;8327.4867;18.60668533;2076.825791;12.59858272;1.47;1.5;0.221771594;26.1
FW08FL029;CPL;2008;0.263636364;2.427272728;60;0.001313176;0.001338735;0.001268535;30;18;1;54.4749734;9991.7397;18.6647613;2078.747;12.06180942;1.36;1.49;0.19390317;24.59
FW08GA001;SAP;2008;0.281818182;2.999999999;152;0.001246838;0.001650481;0.000541823;68;31;0.954545455;14.09103161;35.6355;15.13742855;1895.236166;0;0.09;1.26;0;36.06
FW08GA003;SAP;2008;0.331818182;2.545454545;405;0.001268339;0.000882735;0.001941847;108;56;1;13.22676732;10.6272;14.48571745;2028.865525;0;0.22;2.12;0;48.48
FW08GA015;SAP;2008;0.629545455;3.818181819;345;0.001162066;0.001437249;0.000681422;49;35;0.272727273;25.95029437;89.5383;15.76439093;1860.275765;0;29.68;7.46;10.27872988;712.33
FW08GA018;CPL;2008;0.722727273;3.272727272;367;0.001157927;0.001345434;0.00083042;122;38;0.954545455;66.53682507;11515.7394;17.33323337;1658.148426;9.308333254;5.95;2.84;1.392952675;178.27
FW08GA023;SAP;2008;0.122727273;1.363636364;78;0.001378312;0.001094603;0.001873846;17;14;0.909090909;11.29327114;0.6138;15.54296351;1713.868896;0;1.19;1.22;0;36.16
FW08IA002;UMW;2008;0.359090911;2.818181819;797;0.001029325;0.001153467;0.000812495;53;37;0.772727273;8.411986397;17.9406;7.910592209;938.7787659;36.71616334;1.04;1.05;0.045148992;6.88
FW08IA004;TPL;2008;0.095454545;1.909090909;46;0.001202836;6.93E-05;0.003457338;8;8;0.454545455;9.726024653;87.3351;10.16081306;838.6525044;90.45538392;0.98;1.49;0.012366162;2.93
FW08IA005;TPL;2008;0.156818182;0.727272728;815;0.001066684;0.00115215;0.001192071;87;44;0.636363636;9.511178962;64.08;8.043622746;696.10961;93.20365169;0.94;1.2;0.049157303;2.79
FW08IA008;TPL;2008;0.138636364;1.454545455;443;0.001096397;0.001363086;0.000630589;50;33;0.227272727;9.229262859;33.0948;7.964598158;998.5630202;89.88088763;1.19;1.03;0.054389209;7.18
FW08IA009;TPL;2008;0.081818182;0.545454546;353;0.001071249;0.00141599;0.000743776;44;24;0.380952381;14.59000301;32.3658;8.108068068;946.7762212;90.47605806;1.09;1.24;0.02780713;6.26
FW08IA011;TPL;2008;0;0;199;0.001053295;0.001413419;0.000698954;32;25;0.318181818;7.284964452;177.8049;10.33320911;838.6725248;84.56476734;0.86;1.36;0.007086419;2.89
FW08IA013;UMW;2008;0.040909091;0.818181819;399;0.001059046;0.001470636;0.000614811;52;27;0.409090909;25.64066176;92.2563;7.712540732;913.3057197;71.69266489;1.68;1.51;0.052679329;6.07
FW08IA014;TPL;2008;0.072727273;0.727272727;407;0.001171326;0.001075644;0.001613111;28;16;0.136363636;12.27418659;56.2518;8.461856024;1109.725389;94.15538703;0.63;1.08;0.019199386;5.74
FW08IA016;TPL;2008;0.122727273;1.363636364;769;0.001115483;0.001013274;0.001294006;61;45;0.714285714;35.71346547;660.744;10.0604325;955.165522;59.97480113;1.22;1.52;0.061839381;4.71
FW08IA017;UMW;2008;0.204545454;1.909090909;194;0.001249934;0.000920246;0.001825779;15;15;0.227272727;10.55756706;34.8255;7.997203601;1035.249603;55.97364001;1.07;1.13;0.059439204;8.37
FW08IA023;TPL;2008;0.484090909;2.727272727;883;0.001187106;0.001541031;0.000568929;44;28;0.954545455;12.91738761;11.6469;10.80576014;785.8240996;83.26249903;1.57;1.68;0.069546403;14.63
FW08IA027;TPL;2008;0.027272728;0.545454546;716;0.001098158;0.000603043;0.002237606;13;13;0;22.74685218;22.7952;9.804708333;1037.11805;71.35186355;0.97;1;0;3.66
FW08IA028;TPL;2008;0.247727274;1.090909091;39;0.001329152;0.00128501;0.001406253;23;17;0.909090909;23.61636994;526.2624;9.137883925;900.4707195;89.91698818;1.06;1.51;0.109109068;13.09
FW08IA031;TPL;2008;0.045454547;0.90909091;414;0.001110102;0.001589625;0.000547215;61;29;0.909090909;10.74804805;4.5918;8.910345467;805.3215145;25.79380635;0.56;0.81;0;7.24
FW08IA036;TPL;2008;0.159090909;1;566;0.001168839;0.001323354;0.000898957;30;22;0;8.81330491;100.4805;7.557757578;875.0098861;87.51936943;0.79;1.34;0.054637467;5.54
FW08IA041;TPL;2008;0.920454546;2.454545455;56;0.00145773;0.000237356;0.003589276;11;7;0;3.553993878;1.1007;8.472691014;1319.203504;93.94930499;1.33;1.32;0;5.69
FW08IA042;UMW;2008;0.238636364;1.272727273;281;0.001064645;0.001217785;0.000797164;44;37;0.545454545;32.72235667;699.3441;7.88219868;1014.95847;64.68343695;1.22;1.35;0.060356554;6.07
FW08IA043;TPL;2008;0.022727274;0.454545455;728;0.00101404;0.001299018;0.000790952;43;37;0.818181818;4.781234362;73.3716;9.552349754;967.6983309;26.65595407;0.47;1.14;0.003679898;4.53
FW08IA048;TPL;2008;0.468181819;3.454545454;840;0.001144624;0.001465726;0.000583777;47;31;0.272727273;2.697248879;18.0909;9.992295896;955.6417553;31.19745286;0.91;1.17;0.024874384;10.07
FW08IA052;TPL;2008;0.14090909;2.454545455;828;0.001228479;0.000612499;0.002579034;17;11;0;23.4706436;239.7753;8.030024452;859.5920542;92.03691957;0.85;1.51;0.052924551;2.8
FW08IA054;UMW;2008;0.131818183;1.545454546;583;0.000967145;0.001275524;0.000703182;46;35;0.227272727;43.27629229;38.799;7.868142971;1067.735347;54.63929483;0.9;1.22;0.030155416;6.38
FW08IA055;TPL;2008;0.15909091;0.90909091;442;0.001208829;0.00147877;0.000737342;70;37;0.636363636;30.89288415;5.3316;10.18523194;1082.477363;15.22619851;0.49;1.28;0.016880486;2.7
FW08ID003;WMT;2008;0.343181819;2.636363636;505;0.001450805;0.001816294;0.000812432;77;41;0.818181818;11.53395952;12.7836;6.300133913;1078.13985;0;0.13;2.18;0;0.3
FW08ID004;WMT;2008;0.475000001;3.181818182;300;0.001311344;0.001775156;0.000501236;30;30;0.818181818;39.22648559;38.5767;2.478483271;1218.153182;0;0.09;1.01;0;6.01
FW08ID005;XER;2008;0.831818183;1.454545455;386;0.001475227;0.002073721;0.000429878;45;31;0.318181818;2.875607921;5.3541;6.785033599;518.6445279;0;0.06;0.48;0;5.34
FW08ID006;XER;2008;0.511363638;2.363636364;404;0.001401707;0.001790067;0.000723386;49;39;0;16.84297953;80.4852;4.969652372;597.3105239;0;0.14;0.35;0;0.03
FW08ID007;WMT;2008;0.66590909;3.999999999;392;0.001478646;0.002049717;0.000481196;52;34;0.95;14.24081791;6.1335;2.715214452;596.3398925;0;0.31;0.74;0;0.26
FW08ID008;XER;2008;1.025000001;4;820;0.001094875;0.0008693;0.001488873;55;48;0;12.50011717;60.1452;5.816259776;546.7317532;0;0.46;1.14;0;0.7
FW08ID024;XER;2008;0.518181819;2.363636363;402;0.001509178;0.002104112;0.000470047;41;34;0.5;3.339151522;3.3813;4.820968113;716.0027739;0;1.37;1.38;0;0.82
FW08ID034;XER;2008;0.406818182;2.545454546;377;0.001416069;0.001817031;0.000715736;68;39;0;9.43170561;13.4415;4.903151759;728.0760779;0;0;0.18;0;1.58
FW08ID036;WMT;2008;0.631818182;4.090909092;486;0.001514679;0.002113734;0.000468351;51;34;0.095238095;10.81044669;15.0939;3.819293548;977.2646086;0;0;0;0;0.09
FW08ID044;XER;2008;0.979545454;3.090909091;405;0.001329878;0.001805058;0.000499915;91;31;0;13.86542462;199.1232;7.494690438;502.6782315;0;0.02;0.53;0;0.07
FW08ID053;WMT;2008;1.038636363;6.454545454;148;0.001600297;0.001334646;0.002064291;30;22;0.954545455;14.96936603;6.1164;1.885373547;740.1413734;0;0;0.18;0;0.18
FW08ID057;XER;2008;0.854545456;3.090909092;283;0.001212926;0.001557234;0.000611548;74;34;0.045454545;12.86646255;154.3671;6.436767995;359.9260292;39.06680892;0.69;1.01;0.008162361;2.14
FW08ID061;WMT;2008;0.595454546;3.181818182;258;0.001481083;0.002054095;0.000480243;39;34;0.772727273;8.694437523;2.3445;3.772063199;944.0000738;0;0;0;0;0.73
FW08IL006;SAP;2008;0.306818182;3.881818181;477;0.001170932;0.001202751;0.001115356;22;20;1;22.08427156;4.6485;13.66592052;1372.79608;1.665053243;0.92;1.56;0;19.05
FW08IL011;TPL;2008;1.041363637;2.081818182;397;0.000968296;0.000843726;0.001460538;54;47;0.681818182;24.15773085;1407.0285;9.330365524;1232.895836;86.34867737;1.38;1.42;0.119102065;8.38
FW08IL017;TPL;2008;0.045454546;0.545454546;91;0.001072236;0.001506791;0.000587893;38;28;0.863636364;191.9000161;2267.3313;10.05352564;1329.326189;77.04652602;1.6;1.43;0.159134221;15.18
FW08IL018;TPL;2008;0.727272727;2.000000001;292;0.001177439;0.001388615;0.000808592;70;38;0.904761905;101.2951982;11939.2281;10.1017662;1072.383134;77.54986522;2.42;1.8;0.34839187;35.29
FW08IL022;TPL;2008;0.141818182;1.381818182;226;0.001213482;0.001591051;0.000554008;68;31;0.909090909;99.01821075;22232.3004;8.382857291;1061.050058;59.48346398;3.74;1.99;0.68063402;76
FW08IL024;TPL;2008;0.213636364;2.090909091;237;0.001128439;0.001397671;0.00065819;29;26;1;27.57011264;714.6432;13.20675519;1467.250499;54.93244741;1.81;1.69;0.145457202;21.4
FW08IL027;TPL;2008;0.115909092;1.000000001;141;0.000723656;0.000684935;0.002200034;14;13;0.727272727;23.96630631;3468.2076;8.56554093;1043.602659;32.45886146;8.22;3.2;1.398108349;197.82
FW08IL028;TPL;2008;0.318181818;1.909090909;282;0.001156021;0.001388321;0.000750278;26;24;1;28.15882085;1332.8874;13.27929485;1452.053369;48.38458973;1.34;1.49;0.114990959;12.65
FW08IL029;TPL;2008;1.029545454;2.727272727;259;0.001107725;0.001324983;0.000728256;27;25;1;14.20591711;13750.9524;11.36728247;1302.880531;79.32311728;3.18;1.82;0.540047684;43.23
FW08IL031;TPL;2008;0.638636364;2.818181818;130;0.001196726;0.001533469;0.000608559;42;27;0.863636364;63.55296844;24834.6459;8.483829995;1087.299664;61.6204413;3.62;1.97;0.656489328;71.4
FW08IL036;TPL;2008;0.384090909;2.727272728;58;0.001186943;0.001396865;0.000820287;44;23;0.954545455;37.95411903;4484.2428;11.11363369;1315.437824;83.00709765;3.01;1.81;0.527647611;43.36
FW08IL038;TPL;2008;0.534090909;3.090909091;28;0.001317439;0.001258367;0.001420617;58;17;1;24.25683284;1800.1089;8.227242213;1068.926067;55.1670124;2.39;1.89;0.31553091;56.71
FW08IN002;TPL;2008;0.245454546;1.545454546;520;0.00105567;0.000985711;0.001177862;53;43;0.909090909;32.89181993;279.0927;11.45373171;1269.78359;61.15032747;8.41;3.87;1.839388848;205.71
FW08IN003;TPL;2008;0.190909091;2.363636363;726;0.00113157;0.00109748;0.001191113;68;44;0.909090909;9.587760506;17.7579;10.172642;918.6099216;85.20095282;0.68;1.73;0.055749835;10.79
FW08IN004;UMW;2008;0.131818184;1.545454545;531;0.001200616;0.001143926;0.001299631;78;46;1;5.454407327;4.1445;10.08598698;1158.576692;90.61889251;0.73;1.12;0;13.34
FW08IN005;TPL;2008;0.654545455;1.454545455;554;0.001342682;0.001766896;0.000601737;31;25;0.636363636;10.84956932;4.1391;10.45606558;1021.668778;89.75864318;0.97;1.47;0.086975429;17.88
FW08IN008;SAP;2008;0.059090909;1.090909091;83;0.001030557;0.001187069;0.00103185;27;21;0.954545455;56.49671484;10479.1977;11.59802132;1275.349796;54.24601065;2.26;2.07;0.425076435;50.35
FW08IN009;UMW;2008;0.095454546;1.181818183;168;0.001040698;0.001454497;0.000592608;42;28;0.909090909;102.3728925;6551.5878;9.349657126;1054.788636;54.55255289;2.81;1.92;0.49155565;42.15
FW08IN011;TPL;2008;0.197727272;1.545454546;205;0.001068153;0.001322518;0.000623872;40;28;1;16.31105469;3023.1459;10.40582196;959.8475358;75.3100206;2.99;2.05;0.589362889;48.06
FW08IN013;UMW;2008;0.511363637;3.909090909;129;0.001148189;0.001159884;0.001127761;29;20;0.863636364;126.5739294;8913.042;9.463562921;1073.415827;54.50671387;3.58;2.12;0.784509935;57.5
FW08IN014;TPL;2008;0.163636364;1.090909092;315;0.001094496;0.001319203;0.000702015;99;35;0.909090909;23.65129676;836.8488;10.5367049;1070.346839;85.70774075;1.28;1.56;0.071518296;9.48
FW08IN015;UMW;2008;0.240909091;2.272727273;63;0.0012653;0.001664714;0.00056767;36;27;1;25.45273235;3267.4563;9.955012789;1072.307357;71.84010388;2.12;1.95;0.344579972;30.59
FW08IN016;SAP;2008;0.168181819;1.909090909;227;0.001291117;0.001593845;0.000762362;78;23;0.772727273;7.570997292;6.426;12.50563856;1569.203509;0.462184874;1.52;3.07;0.154061625;11.08
FW08IN017;UMW;2008;0.193181819;1.454545455;65;0.001285797;0.001699039;0.000564017;46;27;0.909090909;74.67261881;2245.707;9.936093524;1096.772622;67.23528492;2.44;2.01;0.433907896;38.64
FW08IN018;TPL;2008;0.004545455;0.090909091;566;0.001094225;0.001518781;0.000627343;62;34;0;19.38034775;318.2418;12.51624151;1333.772544;62.74653424;1.86;1.88;0.332011697;22.73
FW08IN020;TPL;2008;0.190909091;2.363636364;66;0.001291326;0.001492372;0.000940173;31;21;1;29.41775043;4568.5989;9.865574781;1062.559523;67.93998922;2.64;2.07;0.425473989;46.94
