SITE_ID;Ecoregions;YEAR;XFC_NAT_ALG_AQM;SumNat_PFC;FishTotalDensity;RegionalFishTotalLBCD;RegionalFishReplLBCD;RegionalFishRichLBCD;Fish_RarefiedChaoRichness;ObservedFishRichness;InvasiveFishDensity;RatioInvasiveDensity;RiparianPresent;SDDEPTH_CM;CatchmentsArea;MeanAnnualTemperature;MeanPrecipitation;CroplandIntensity;AnthropogenicImperviousnessSufaces;RoadsDensity;HighIntensiveLandUse;DensidadePopulational
FW08CO027;WMT;2008;0.956818182;3.909090909;57;0.001652706;0.0010179;0.003506479;1;1;0;0;0.909090909;11.27648398;17.5212;-0.39307065;840.3403055;0;0;0.012221658;0;0.795885883
FW08CO031;SPL;2008;0.734090908;4.454545455;66;0.001461868;0.00140222;0.001528054;5;5;8;0.6;0.954545455;20.29246763;625.6764;4.609913006;693.8885979;0.657943947;0.864377816;0.872337118;0.086162751;21.08700555
FW08CO038;WMT;2008;0.363636365;3.636363636;19;0.001683755;6.40E-05;0.003481093;1;1;35;3;0;34.22932171;221.895;0.832167217;709.259354;0;0.101383087;0.419692555;0;0.738962938
FW08CO073;XER;2008;0.229545456;1.818181819;190;0.001027782;0.001579859;0.001469996;5;5;0;0;0.136363636;17.65893484;833.1867;3.879912312;632.0787905;0.416737329;0.21192573;0.682125106;0.007453311;0.765199879
FW08CO076;SPL;2008;1.568181818;3.090909091;403;0.001409543;0.001771712;0.001007676;14.985;9;2;0.111111111;0.136363636;7.611129544;4520.6766;10.02163495;676.8571518;41.87979074;0.204542767;0.72462334;0.009157921;0.717503348
FW08CT009;NAP;2008;0.658333334;3.333333333;158;0.001474872;0.001844916;0.001064267;8;8;15;0.25;0.708333333;22.54083247;54.0729;10.13252491;1309.91;0.416104925;12.07253541;3.809579532;1.810888634;272.0400952
FW08CT020;NAP;2008;0.620454546;3.727272726;190;0.001457269;0.001980023;0.000877214;21.217;15;84;0.333333333;0.727272727;92.6633965;2891.8458;8.185359846;1324.478063;1.435844193;2.424723061;2.30077483;0.415945415;55.52615533
FW08DE001;CPL;2008;0.772727272;3.090909092;80;0.001560277;0.002211758;0.000837387;12.975;11;111;0.181818182;0.523809524;14.26068977;9.6363;12.85484208;1385.317581;42.74773513;0.534883721;1.537555737;0;40.61704125
FW08DE005;CPL;2008;0.222727274;2.272727273;227;0.001447421;0.001866967;0.000981888;30.445;18;6;0.111111111;1;29.53580262;416.7837;11.95297212;1383.412396;7.323367013;10.49107415;4.681240311;2.123979417;411.1510717
FW08DE008;CPL;2008;0.715;2.1;11;0.001657421;0.000781402;0.002629462;2;2;0;0;0.863636364;4.89077436;1.1727;13.54486721;1482.349679;36.68457406;0.455871067;1.371352834;0;26.88095689
FW08DE010;CPL;2008;0.702272729;1.272727273;188;0.001092063;0.002040477;0.000883537;19.979;16;32;0.1875;0.727272727;65.75129142;575.3502;13.61817634;1544.079896;44.86185979;3.242767622;2.300192029;0.706578359;66.85659325
FW08DE013;CPL;2008;0.168181819;2.272727273;152;0.001480958;0.001993041;0.000912746;10;10;28;0.1;1;21.46212073;14.8293;12.4811671;1377.636895;0;29.22625478;9.61176514;9.273532803;837.8079407
FW08DE014;CPL;2008;0.854545456;3.636363636;283;0.00149098;0.002025831;0.000897501;21.979;16;148;0.1875;0.85;29.30353169;315.6552;13.60485933;1512.30508;46.58225177;2.260312835;2.015437526;0.389475605;42.48508957
FW08DE015;CPL;2008;0.23409091;1.90909091;20;0.001683165;0.001388835;0.002009757;3;3;0;0;0.636363636;7.517094612;1.7631;13.60408374;1499.310181;41.96018377;1.952016335;2.497726742;0.051046452;29.41753261
FW08DE021;SAP;2008;0.2;2.909090908;121;0.001424042;0.001915687;0.000878507;13.992;13;0;0;0.727272727;16.98186247;15.9147;12.18818563;1381.036209;0.322343494;16.16614828;7.422421425;0.588135497;993.922785
FW08FL002;CPL;2008;0.722727273;5.181818182;50;0.001579199;0.001860372;0.001267206;6.49;6;0;0;1;24.52383709;11.3202;19.83067957;2305.480871;0.039751948;25.21656861;8.810753654;5.215455557;554.6339918
FW08FL013;CPL;2008;0.177272728;2.454545455;16;0.001659733;0.001652447;0.001667818;4.938;4;0;0;1;6.656689504;0.5436;19.17989271;2164.978271;11.75496689;0;0;0;28.7209151
FW08FL016;CPL;2008;0.263636363;4.181818181;397;0.001503777;0.001439502;0.001575098;31.591;28;0;0;1;127.7074862;10752.7932;18.42252995;2110.65098;4.253332985;0.698297508;1.419348789;0.072985687;11.49132998
FW08FL017;CPL;2008;0.297727273;3.909090909;368;0.001508156;0.001509925;0.001506193;27.748;27;0;0;1;55.46861885;9131.4306;18.63663069;2077.735557;12.75211575;1.395210976;1.48611154;0.203360249;24.98793787
FW08FL021;CPL;2008;0.456818181;2.999999999;6;0.00166814;0.00167432;0.001661283;6.5;4;0;0;0.954545455;15.09397833;145.9503;19.9806583;1373.330493;0.018499448;0.797252215;1.619106461;0.007399779;2.376014356
FW08FL025;CPL;2008;0.136363636;2.363636364;692;0.001506538;0.001432716;0.001588452;36.987;28;1;0.035714286;0.727272727;59.50452915;8327.4867;18.60668533;2076.825791;12.59858272;1.474255095;1.500186994;0.221771594;26.09741408
FW08FL029;CPL;2008;0.263636364;2.427272728;537;0.001508149;0.001752697;0.001236795;23.399;23;0;0;1;54.4749734;9991.7397;18.6647613;2078.747;12.06180942;1.358537743;1.490893017;0.19390317;24.58672378
FW08GA003;SAP;2008;0.331818182;2.545454545;46;0.0016073;0.000647893;0.002671869;2;2;1;0.5;1;13.22676732;10.6272;14.48571745;2028.865525;0;0.217479675;2.115411601;0;48.48332382
FW08GA015;SAP;2008;0.629545455;3.818181819;649;0.000652489;0.002055828;0.000993979;6.247;5;1;0.052631579;0.272727273;25.95029437;89.5383;15.76439093;1860.275765;0;29.68218963;7.45810836;10.27872988;712.3267751
FW08GA023;SAP;2008;0.122727273;1.363636364;155;0.000771615;0.001974455;0.001215881;6.497;6;0;0;0.909090909;11.29327114;0.6138;15.54296351;1713.868896;0;1.193548387;1.223546601;0;36.16018561
FW08IA002;UMW;2008;0.359090911;2.818181819;598;0.001365817;0.001579168;0.001129081;19.499;19;0;0;0.772727273;8.411986397;17.9406;7.910592209;938.7787659;36.71616334;1.036871677;1.050877202;0.045148992;6.877303964
FW08IA004;TPL;2008;0.095454545;1.909090909;172;0.001514354;0.001541577;0.001484147;5;5;0;0;0.454545455;9.726024653;87.3351;10.16081306;838.6525044;90.45538392;0.975154319;1.492442358;0.012366162;2.928948056
FW08IA005;TPL;2008;0.156818182;0.727272728;387;0.001342528;0.001708434;0.000936513;4;4;3;0.083333333;0.636363636;9.511178962;64.08;8.043622746;696.10961;93.20365169;0.939733146;1.20328926;0.049157303;2.789857591
FW08IA008;TPL;2008;0.138636364;1.454545455;473;0.000771398;0.001839964;0.000906907;13;13;0;0;0.227272727;9.229262859;33.0948;7.964598158;998.5630202;89.88088763;1.186908517;1.029796911;0.054389209;7.183762802
FW08IA009;TPL;2008;0.081818182;0.545454546;785;0.001391686;0.000179737;0.000941541;16.997;15;0;0;0.380952381;14.59000301;32.3658;8.108068068;946.7762212;90.47605806;1.091763528;1.244749026;0.02780713;6.25664049
FW08IA011;TPL;2008;0;0;140;0.000848183;6.45E-05;0.001301087;16;16;0;0;0.318181818;7.284964452;177.8049;10.33320911;838.6725248;84.56476734;0.863171375;1.356245259;0.007086419;2.890251022
FW08IA013;UMW;2008;0.040909091;0.818181819;329;0.000814083;0.001864069;0.000902558;13;13;0;0;0.409090909;25.64066176;92.2563;7.712540732;913.3057197;71.69266489;1.680890086;1.513850659;0.052679329;6.065353718
FW08IA014;TPL;2008;0.072727273;0.727272727;259;0.000811289;0.000186579;0.000906972;4;4;2;0.071428571;0.136363636;12.27418659;56.2518;8.461856024;1109.725389;94.15538703;0.626907939;1.077676611;0.019199386;5.738323095
FW08IA016;TPL;2008;0.122727273;1.363636364;262;0.000771417;0.001827331;0.000961268;10;10;0;0;0.714285714;35.71346547;660.744;10.0604325;955.165522;59.97480113;1.224540972;1.520268463;0.061839381;4.71150132
FW08IA017;UMW;2008;0.204545454;1.909090909;365;0.001439119;0.001917113;0.00090873;11.997;11;24;0.090909091;0.227272727;10.55756706;34.8255;7.997203601;1035.249603;55.97364001;1.066106732;1.128151416;0.059439204;8.365185743
FW08IA023;TPL;2008;0.484090909;2.727272727;234;0.001386324;0.001792073;0.000936101;11.249;11;2;0.090909091;0.954545455;12.91738761;11.6469;10.80576014;785.8240996;83.26249903;1.56610772;1.678694887;0.069546403;14.62574935
FW08IA027;TPL;2008;0.027272728;0.545454546;95;0.001336111;0.001591164;0.0010531;10.979;9;0;0;0;22.74685218;22.7952;9.804708333;1037.11805;71.35186355;0.966993051;1.002338949;0;3.6565931
FW08IA028;TPL;2008;0.247727274;1.090909091;136;0.0013557;0.001645216;0.001034448;30.16;18;6;0.055555556;0.909090909;23.61636994;526.2624;9.137883925;900.4707195;89.91698818;1.055194139;1.514038306;0.109109068;13.08790865
FW08IA031;TPL;2008;0.045454547;0.90909091;114;0.001603751;0.000636619;0.002676893;2;2;0;0;0.909090909;10.74804805;4.5918;8.910345467;805.3215145;25.79380635;0.563112505;0.81028471;0;7.242436713
FW08IA036;TPL;2008;0.159090909;1;252;0.001361723;0.001724284;0.00095942;15.996;15;11;0.066666667;0;8.81330491;100.4805;7.557757578;875.0098861;87.51936943;0.789672623;1.341832897;0.054637467;5.536921769
FW08IA042;UMW;2008;0.238636364;1.272727273;425;0.001361164;0.001442373;0.001271053;39.958;22;0;0;0.545454545;32.72235667;699.3441;7.88219868;1014.95847;64.68343695;1.216049438;1.349850349;0.060356554;6.071969139
FW08IA043;TPL;2008;0.022727274;0.454545455;180;0.000814101;0.000181592;0.000959805;10.994;10;0;0;0.818181818;4.781234362;73.3716;9.552349754;967.6983309;26.65595407;0.465801482;1.136257321;0.003679898;4.53199936
FW08IA048;TPL;2008;0.468181819;3.454545454;4;0.001661779;1.51E-05;0.003522484;1;1;0;0;0.272727273;2.697248879;18.0909;9.992295896;955.6417553;31.19745286;0.905974827;1.172010241;0.024874384;10.07364861
FW08IA052;TPL;2008;0.14090909;2.454545455;351;0.001368281;0.001554125;0.001162067;32.464;20;35;0.05;0;23.4706436;239.7753;8.030024452;859.5920542;92.03691957;0.845013644;1.511237123;0.052924551;2.801140371
FW08IA054;UMW;2008;0.131818183;1.545454546;324;0.001393725;0.001795274;0.000948161;15;15;12;0.066666667;0.227272727;43.27629229;38.799;7.868142971;1067.735347;54.63929483;0.895731849;1.220274462;0.030155416;6.383535621
FW08IA055;TPL;2008;0.15909091;0.90909091;261;0.0013476;0.001724706;0.000929157;13;13;0;0;0.636363636;30.89288415;5.3316;10.18523194;1082.477363;15.22619851;0.494598244;1.284033267;0.016880486;2.700974298
FW08ID004;WMT;2008;0.475000001;3.181818182;15;0.001676887;4.66E-05;0.003485841;1;1;5;1;0.818181818;39.22648559;38.5767;2.478483271;1218.153182;0;0.086391526;1.005677749;0;6.009112956
FW08ID007;WMT;2008;0.66590909;3.999999999;5;0.001691973;9.00E-05;0.003469523;1;1;0;0;0.95;14.24081791;6.1335;2.715214452;596.3398925;0;0.312105649;0.736887156;0;0.262064461
FW08ID008;XER;2008;1.025000001;4;226;0.001627877;0.001270419;0.002024516;3;3;0;0;0;12.50011717;60.1452;5.816259776;546.7317532;0;0.459298498;1.135576505;0;0.695018529
FW08ID034;XER;2008;0.406818182;2.545454546;44;0.001652059;0.001316934;0.002023919;3;3;0;0;0;9.43170561;13.4415;4.903151759;728.0760779;0;6.70E-05;0.183050689;0;1.575822321
FW08ID044;XER;2008;0.979545454;3.090909091;9;0.001661075;0.001343322;0.002013657;3;3;5;0.333333333;0;13.86542462;199.1232;7.494690438;502.6782315;0;0.015543643;0.526511717;0;0.07317536
FW08ID057;XER;2008;0.854545456;3.090909092;7;0.001682085;6.63E-05;0.003474971;1;1;4;1;0.045454545;12.86646255;154.3671;6.436767995;359.9260292;39.06680892;0.688512643;1.010380594;0.008162361;2.137625284
FW08IL006;SAP;2008;0.306818182;3.881818181;933;0.001402381;0.001734815;0.001033508;18;18;0;0;1;22.08427156;4.6485;13.66592052;1372.79608;1.665053243;0.924491772;1.555682878;0;19.05062467
FW08IL017;TPL;2008;0.045454546;0.545454546;998;0.001406416;0.000186843;0.000893756;23.99;14;9;0.071428571;0.863636364;191.9000161;2267.3313;10.05352564;1329.326189;77.04652602;1.600159095;1.427728711;0.159134221;15.18069892
FW08IL018;TPL;2008;0.727272727;2.000000001;522;0.001365384;0.001551852;0.001158477;27.238;21;19;0.047619048;0.904761905;101.2951982;11939.2281;10.1017662;1072.383134;77.54986522;2.422963424;1.800608599;0.34839187;35.28997707
FW08IL022;TPL;2008;0.141818182;1.381818182;493;0.001334313;0.001615484;0.001022322;18.499;18;43;0.055555556;0.909090909;99.01821075;22232.3004;8.382857291;1061.050058;59.48346398;3.744903847;1.992719761;0.68063402;76.00109364
FW08IL027;TPL;2008;0.115909092;1.000000001;384;0.0007714;0.001771262;0.000988053;21.99;18;129;0.055555556;0.727272727;23.96630631;3468.2076;8.56554093;1043.602659;32.45886146;8.217550299;3.201331917;1.398108349;197.8162992
FW08IL029;TPL;2008;1.029545454;2.727272727;477;0.00135102;0.001560342;0.001118754;22.245;20;64;0.1;1;14.20591711;13750.9524;11.36728247;1302.880531;79.32311728;3.181812083;1.822682385;0.540047684;43.2251182
FW08IL031;TPL;2008;0.638636364;2.818181818;531;0.001336764;0.001369064;0.001300923;25.994;23;29;0.043478261;0.863636364;63.55296844;24834.6459;8.483829995;1087.299664;61.6204413;3.624158591;1.973061421;0.656489328;71.40411707
FW08IL036;TPL;2008;0.384090909;2.727272728;492;0.001368534;0.001384843;0.001350438;39.967;24;8;0.083333333;0.954545455;37.95411903;4484.2428;11.11363369;1315.437824;83.00709765;3.008298257;1.806038524;0.527647611;43.36412521
FW08IL038;TPL;2008;0.534090909;3.090909091;482;0.001368796;0.001481494;0.001243744;23.996;22;33;0.045454545;1;24.25683284;1800.1089;8.227242213;1068.926067;55.1670124;2.386646608;1.888453843;0.31553091;56.70826604
FW08IN002;TPL;2008;0.245454546;1.545454546;560;0.001392985;0.00135576;0.001434291;37.478;25;0;0;0.909090909;32.89181993;279.0927;11.45373171;1269.78359;61.15032747;8.411953448;3.866314673;1.839388848;205.706385
FW08IN003;TPL;2008;0.190909091;2.363636363;598;0.001373779;0.001666224;0.001049277;18.166;18;2;0.055555556;0.909090909;9.587760506;17.7579;10.172642;918.6099216;85.20095282;0.679742537;1.730338192;0.055749835;10.79376745
FW08IN004;UMW;2008;0.131818184;1.545454545;225;0.001015169;0.001720938;0.000628684;6;6;89;0.833333333;1;5.454407327;4.1445;10.08598698;1158.576692;90.61889251;0.726384365;1.117582968;0;13.33805052
FW08IN005;TPL;2008;0.654545455;1.454545455;19;0.001088887;0.001204901;0.001804001;4.474;4;3;0.25;0.636363636;10.84956932;4.1391;10.45606558;1021.668778;89.75864318;0.969341161;1.474290063;0.086975429;17.88146029
FW08IN008;SAP;2008;0.059090909;1.090909091;1138;0.001358322;0.001291325;0.001432662;33.992;25;2;0.04;0.954545455;56.49671484;10479.1977;11.59802132;1275.349796;54.24601065;2.259959653;2.073789037;0.425076435;50.3540735
FW08IN009;UMW;2008;0.095454546;1.181818183;509;0.001363067;0.001354568;0.001372497;32.982;24;2;0.041666667;0.909090909;102.3728925;6551.5878;9.349657126;1054.788636;54.55255289;2.80677191;1.918132895;0.49155565;42.14530545
FW08IN011;TPL;2008;0.197727272;1.545454546;531;0.001335876;0.000977904;0.001733085;41.476;29;10;0.034482759;1;16.31105469;3023.1459;10.40582196;959.8475358;75.3100206;2.994316847;2.050767422;0.589362889;48.0636294
FW08IN013;UMW;2008;0.511363637;3.909090909;515;0.001321677;0.001648708;0.001138149;24.491;20;18;0.05;0.863636364;126.5739294;8913.042;9.463562921;1073.415827;54.50671387;3.577192736;2.122621386;0.784509935;57.49631159
FW08IN015;UMW;2008;0.240909091;2.272727273;710;0.001325807;0.000800529;0.001908662;43.482;31;17;0.032258065;1;25.45273235;3267.4563;9.955012789;1072.307357;71.84010388;2.118328928;1.950124687;0.344579972;30.59424898
FW08IN016;SAP;2008;0.168181819;1.909090909;281;0.001430205;0.001733158;0.001094045;8;8;0;0;0.772727273;7.570997292;6.426;12.50563856;1569.203509;0.462184874;1.519887955;3.067289811;0.154061625;11.07890067
FW08IN017;UMW;2008;0.193181819;1.454545455;648;0.001315774;0.00098518;0.001682604;29.997;28;6;0.035714286;0.909090909;74.67261881;2245.707;9.936093524;1096.772622;67.23528492;2.435556642;2.007776481;0.433907896;38.64013841
FW08IN018;TPL;2008;0.004545455;0.090909091;922;0.000813487;0.000138423;0.001309288;15.237;13;4;0.043478261;0;19.38034775;318.2418;12.51624151;1333.772544;62.74653424;1.861262097;1.884395003;0.332011697;22.73310169
FW08IN020;TPL;2008;0.190909091;2.363636364;486;0.001348941;0.001327479;0.001372756;30.237;24;26;0.041666667;1;29.41775043;4568.5989;9.865574781;1062.559523;67.93998922;2.63935002;2.069925566;0.425473989;46.94309081
FW08IN023;TPL;2008;0.109090909;1.818181818;1954;0.001337553;0.00106125;0.001644143;27.999;27;89;0.074074074;0.954545455;14.19507312;80.073;10.50959594;864.3449593;86.49657188;0.988760256;1.313606899;0.159604361;12.8213787
FW08IN025;UMW;2008;0.272727274;2.818181819;548;0.001364564;0.001622244;0.001078638;21.246;19;0;0;1;40.81728194;1796.6007;9.801301385;1134.153898;58.87248068;4.059214326;2.386716892;1.008755034;74.90420529
FW08IN028;TPL;2008;0.10909091;1.454545455;26;0.001010666;0.000909519;0.002177706;3;3;0;0;1;5.019050954;0.9882;11.02160933;1060.309779;34.06193078;0.836976321;2.105794604;0;13.12999187
FW08IN029;UMW;2008;0.806818181;2;418;0.001473614;0.001419721;0.001533415;5;5;115;0.2;0;3.564835717;11.0223;9.880606607;1069.69674;72.36874337;3.838491059;1.953339064;0.383767453;49.45938353
FW08IN030;TPL;2008;0.300000001;1.181818183;318;0.001354677;0.000898488;0.001860869;37.106;31;3;0.096774194;0.954545455;281.3125082;3678.2334;10.82806042;1166.215187;11.62658193;2.979272686;2.055351383;0.52491775;51.2768534
FW08IN033;UMW;2008;0.304545455;1.636363636;533;0.001354744;0.000876116;0.001885835;41.106;31;4;0.032258065;1;29.27868358;2117.9781;9.942644726;1103.04716;27.33892574;2.487607025;2.022352034;0.451661894;39.88907643
FW08KS001;SPL;2008;0.536363636;1.90909091;329;0.001410682;0.001774741;0.001006718;9;9;1;0.111111111;1;11.33071887;20.9241;12.54084521;765.8709899;23.69134156;0.2774743;1.010246275;0;0.898590208
