Ecoregions;YEAR;HabitatComplexity;FishTotalDensity;LocalFishTotalLCBD;LocalFishReplLCBD;LocalFishRichLCBD;RegionalFishTotalLBCD;RegionalFishReplLBCD;RegionalFishRichLBCD;Fish_RarefiedChaoRichness;ObservedFishRichness;CroplandIntensity;AnthropogenicImperviousnessSufaces;RoadsDensity;HighIntensiveLandUse;DensidadePopulational
SAP;2013;Poor;446;0.00782247;0.010435091;0.004179216;0.001226955;0.001065344;0.001410726;35;23;16.72657618;0.856278788;1.373858303;0.057356151;9.426974362
SAP;2013;Good;1;0.007479978;0.008163874;0.006526297;0.001287084;9.08E-05;0.002647429;1;1;8.869020227;1.364066926;1.713429789;0.196394341;24.34776574
CPL;2013;Good;204;0.007430708;0.003713071;0.012614889;0.001233401;0.001509974;0.000918902;26;16;1.923455841;3.284941464;1.67515193;0.618521907;60.48488154
CPL;2013;Good;274;0.008021962;0.00624804;0.010495666;0.001151957;0.001279464;0.001006965;17;17;0.024861722;11.76187596;4.067598718;2.725983741;383.6248333
CPL;2013;Poor;447;0.008197011;0.009077049;0.006969813;0.001154093;0.00085381;0.001495551;36;24;22.94613225;2.159904938;1.692510566;0.47884727;44.00945443
SAP;2013;Poor;320;0.007789925;0.010122229;0.004537567;0.001231474;0.001692801;0.000706888;16;12;0;0.094178558;1.258796075;0;36.06457406
SAP;2013;Poor;928;0.008010872;0.009445406;0.006010439;0.00119661;0.000663747;0.001802541;31;29;36.1032927;0.620999014;1.315652859;0.042121837;8.373198034
CPL;2013;Poor;506;0.007067868;0.006235658;0.00822837;0.001235987;0.001230581;0.001242135;29;21;0;0.10306598;0.623133698;0.009811136;0.653242086
CPL;2013;Poor;689;0.007643041;0.009489463;0.005068236;0.001197918;0.000834633;0.001611019;29;26;0;0.115349935;0.456455929;0.005520566;0.373098416
CPL;2013;Poor;496;0.007621873;0.009287679;0.005298935;0.001153489;0.00040002;0.002010277;48;32;0;0.426247768;0.868824695;0.003840762;0.762795653
SAP;2013;Poor;494;0.008107045;0.008604866;0.007412843;0.001184178;0.001171949;0.001198084;22;20;0;0.193318368;1.429062294;0;6.815535546
CPL;2013;Poor;454;0.007759415;0.01046799;0.003982355;0.001184123;0.000863073;0.001549196;34;25;0;0.048591619;0.656309577;0;11.16443697
SAP;2013;Poor;727;0.008369607;0.009372507;0.006971079;0.001144124;0.001322892;0.000940841;28;16;0.363033221;7.918133238;3.19520664;1.833902631;240.5676582
CPL;2013;Good;248;0.008342187;0.005021009;0.012973514;0.001168922;0.001007871;0.001352057;24;22;0.078116046;9.387921015;3.627211926;2.075421511;272.0693493
CPL;2013;Poor;615;0.007548987;0.007533018;0.007571255;0.001185799;0.001114706;0.001266642;25;21;0;0.293866375;1.399913475;0;3.868086419
CPL;2013;Poor;199;0.007833881;0.010107817;0.004662917;0.001198738;0.001270205;0.001117472;20;19;0.049286456;11.88806648;4.261673034;3.141340003;379.1195485
CPL;2013;Poor;551;0.007677208;0.010288885;0.00403527;0.001239964;0.001176666;0.001311941;25;22;0;0.606721955;1.27829813;0;3.449801392
CPL;2013;Poor;508;0.00800439;0.011103728;0.003682416;0.001218337;0.000716733;0.001788723;74;29;6.688468426;0.278361753;0.837956629;0;2.077332116
CPL;2013;Poor;527;0.006875737;0.008521761;0.004580385;0.001192618;0.000657774;0.001800803;37;29;9.83061483;5.649122837;2.713581969;1.268718018;162.7972153
SAP;2013;Poor;638;0.007271502;0.009479415;0.004192605;0.001161248;0.001183908;0.00113548;19;19;0.097557872;5.535857094;2.865682582;1.053090868;136.5494463
CPL;2013;Poor;308;0.00810688;0.011024263;0.00403864;0.001214374;0.001118589;0.001323293;23;22;0.001266317;0.612301766;1.329378318;0.044701;7.904911179
SAP;2013;Poor;189;0.007996958;0.007722405;0.008379817;0.001168097;0.001565775;0.000715887;13;11;7.847385012;3.166446303;2.069854808;0.604648641;78.24860023
SAP;2013;Poor;155;0.00788894;0.001726883;0.016481823;0.001176175;0.001589653;0.000705999;18;10;0.012071807;0.381631194;1.258070786;0.006208358;6.659775884
CPL;2013;Poor;162;0.007753714;0.009347375;0.005531381;0.001232041;0.001517558;0.000907373;24;16;0.050190134;5.971962734;3.004401224;1.001077916;186.9447318
CPL;2013;Poor;229;0.007717228;0.008019146;0.00729621;0.001156205;0.001107116;0.001212025;26;20;12.72697283;1.5107927;1.692065567;0.156225485;18.62826775
SAP;2013;Poor;127;0.008231435;0.010414728;0.00518687;0.001203746;0.001633372;0.000715207;24;12;12.18658038;1.299307859;1.578101039;0.104285672;15.42670031
SAP;2013;Poor;462;0.008467959;0.010938819;0.005022386;0.001164667;0.001063431;0.001279785;27;21;0;0.447671657;1.338983645;0.04577607;7.796358316
CPL;2013;Poor;12;0.008029475;0.011092936;0.003757531;0.001264484;0.001060911;0.001495972;3;3;0;30.50680993;7.45810836;10.27872988;712.3267751
SAP;2013;Poor;245;0.008205325;0.011153851;0.004093655;0.001191458;0.001616685;0.000707923;11;11;0;1.195014663;1.223546601;0;36.16018561
SAP;2013;Poor;62;0.007603117;0.009507135;0.004947998;0.001202688;0.001340587;0.00104588;5;5;0;0.248780054;1.136271948;0.00290859;4.788862243
SAP;2013;Poor;236;0.008082107;0.010101886;0.005265559;0.001182792;0.00150361;0.000817982;14;14;8.489096573;0.826323988;1.643363986;0.07788162;6.000793513
CPL;2013;Poor;950;0.008153279;-0.000546751;0.02028532;0.001201514;0.001645066;0.00069714;10;10;0;0.926691992;1.807640104;0.089758211;12.32675672
XER;2014;Poor;8;0.007943411;0.010547029;0.004747202;0.001151146;0.000307364;0.002117947;1;1;0;0.30804678;1.468288507;0.002826056;10.48556209
WMT;2013;Poor;1;0.008533871;0.003212049;0.01595506;0.001350788;0.000300876;0.002544669;1;1;0.413292848;3.539356898;2.409526364;0.156363542;143.4342073
XER;2014;Poor;27;0.009761996;0.005088132;0.015499643;0.001149953;0.001229871;0.001058384;3;3;0;2.382129943;2.467541936;0.093316225;46.19871658
WMT;2014;Poor;146;0.010157031;0.006153454;0.015071834;0.00112048;0.000229048;0.002141879;1;1;0;1.586887333;2.609674883;0.40314025;23.01853308
XER;2013;Poor;1;0.007640272;0.007863495;0.007328993;0.001341926;0.00027599;0.002554027;1;1;14.83358172;1.818330849;2.193940476;0.00496771;10.31884612
XER;2014;Good;49;0.010420231;0.006926464;0.01470919;0.00113061;0.001185598;0.001067605;3;3;0;1.167594937;1.632595236;0;27.74469839
XER;2013;Good;4;0.00776519;0.007166438;0.008600139;0.001343229;0.000279322;0.002553024;1;1;0.006829027;8.769395716;3.777687107;1.252955688;198.0190952
XER;2013;Good;132;0.006938375;0.008428492;0.004860433;0.001328889;0.001520072;0.001111491;4;4;0.002500813;0.200297789;0.698719418;0.005193996;4.142259985
XER;2014;Poor;1;0.009658127;0.001207638;0.020031971;0.001151146;0.000307364;0.002117947;1;1;1.004224117;0.32434048;1.110457503;0.003985016;1.546716361
WMT;2014;Poor;37;0.008900573;0.010904141;0.006440987;0.001133954;0.001192111;0.001067318;3;3;0;40.05932888;9.40371256;17.94551729;1220.3677
WMT;2013;Good;233;0.006789864;0.006377591;0.007364773;0.00133484;0.001701817;0.000917542;5;5;0;0.185692752;0.685214783;0.007752272;6.647522914
WMT;2013;Poor;53;0.007397537;0.008018479;0.006531644;0.001325215;0.000862788;0.001851051;2;2;0;0.32688268;0.904804241;0.001438808;6.451423083
WMT;2014;Good;73;0.009119794;0.007737711;0.010816443;0.00112048;0.000229048;0.002141879;1;1;0;0.007194245;0.531465336;0;40.2158956
XER;2014;Poor;3;0.010198236;0.006452308;0.014796747;0.00112048;0.000229048;0.002141879;1;1;3.90083632;0.895519713;1.200222448;0;3.915081944
XER;2014;Poor;4;0.007856762;0.01075294;0.004301406;0.001155047;0.000316132;0.002116272;1;1;2.136181575;0.523364486;1.256834021;0;7.646896051
XER;2014;Good;70;0.007936524;0.010159427;0.005207682;0.001152333;0.00030831;0.00211941;1;1;0;1.946550976;1.299831325;0.286334056;7.437787746
WMT;2014;Poor;540;0.007822147;0.010722024;0.004262249;0.00112578;0.001359401;0.000858098;4;4;0.009295408;2.473415133;2.735953205;0.037181632;37.24098774
WMT;2014;Poor;33;0.007429265;0.009428625;0.004974845;0.001154267;0.000919113;0.001423705;2;2;0;0.250948167;0.378475312;0;19.26363157
WMT;2013;Poor;173;0.00725692;0.00864901;0.005315673;0.001326142;0.001250302;0.001412382;3;3;0;0.0955395;1.312246243;0;2.832105717
XER;2013;Poor;1;0.00723326;0.001245167;0.015583552;0.001351414;0.000302836;0.002543777;1;1;7.178652286;0.503434153;1.008082451;0.001907863;2.470501048
XER;2014;Good;16;0.007729476;0.009168487;0.005962943;0.001154267;0.00031394;0.002117109;1;1;85.42994504;1.047630035;1.341289178;0.058251472;6.090163435
WMT;2014;Poor;572;0.007791317;0.010559783;0.004392741;0.000711158;0.001945771;0.000608149;3;3;92.44973007;1.352792698;1.336859311;0.100692944;3.9909029
XER;2013;Good;245;0.007622201;0.008536915;0.006346649;0.001317865;0.000844187;0.001856497;2;2;29.72741644;1.715662907;1.486517861;0.187974544;13.55218549
WMT;2013;Good;169;0.007238465;0.006631248;0.008085219;0.001303407;0.000184376;0.002575886;1;1;72.18546451;1.362121089;1.399847293;0.076007604;7.79851102
XER;2013;Good;240;0.0069367;0.005849256;0.008453121;0.001314598;0.001652959;0.000929841;5;5;0.26034653;0.156064279;1.197548039;0;7.6737673
WMT;2013;Good;75;0.007336183;0.004259579;0.011626455;0.001303407;0.000184376;0.002575886;1;1;1.533348933;2.553024344;1.975562479;0.442124743;56.82033174
XER;2013;Good;52;0.007068496;0.002046956;0.014070947;0.001351414;0.000302836;0.002543777;1;1;3.055282558;1.642845358;1.572262379;0.261228139;28.71840197
WMT;2013;Poor;8;0.007441188;0.006218553;0.009146132;0.000613431;0.001904287;0.00051842;2;2;95.30757926;0.767268528;1.442508624;0.031492757;6.352424299
WMT;2013;Good;159;0.007293122;0.004001024;0.011883897;0.001303407;0.000184376;0.002575886;1;1;0.108108149;6.955101978;3.161091852;1.110626803;170.7793014
WMT;2014;Good;16;0.009456734;0.004134203;0.015990689;0.001112285;0.000219341;0.002135414;1;1;4.741059206;0.882704914;1.181189929;0.10594161;13.98239789
WMT;2013;Poor;292;0.007769361;-0.001593857;0.020826209;0.001324948;0.001506735;0.001118234;4;4;74.43546788;1.309684128;1.496918347;0.238361738;19.48309102
WMT;2013;Good;134;0.00752334;0.006482992;0.008974088;0.001303407;0.000184376;0.002575886;1;1;0.826519089;4.943393323;2.845652266;1.035720891;105.2364934
WMT;2013;Poor;142;0.00721881;0.007723159;0.006515503;0.001342299;0.001291071;0.001400553;3;3;69.41319474;1.806981517;1.574595362;0.190501293;21.48960863
WMT;2013;Poor;72;0.007524917;0.004911061;0.011169896;0.001303407;0.000184376;0.002575886;1;1;36.26166304;1.764186059;1.538992827;0.313845255;29.14472037
WMT;2014;Good;26;0.009749959;0.001664742;0.019675394;0.001112285;0.000219341;0.002135414;1;1;0.368358288;1.128087982;1.611270121;0.031800716;31.2405054
WMT;2014;Good;72;0.008087302;0.010858785;0.004685023;0.001112285;0.000219341;0.002135414;1;1;0;0.236768802;1.741387968;0;2.157075511
WMT;2014;Good;5;0.007530089;0.005529337;0.009986217;0.001112285;0.000219341;0.002135414;1;1;0;0.100644909;1.199311233;0;5.716846131
WMT;2014;Good;51;0.008281772;0.004664715;0.012722081;0.001112285;0.000219341;0.002135414;1;1;0;0.214351709;0.788688921;0;4.657487241
WMT;2014;Good;53;0.009836059;0.005237117;0.015481733;0.001112285;0.000219341;0.002135414;1;1;0;0.384931565;1.103433726;0.004237468;3.889187394
XER;2014;Good;43;0.007334189;0.00948662;0.00469186;0.001152694;0.000914837;0.00142523;2;2;0.115331291;0.902974484;1.363557102;0.062164384;9.915508302
WMT;2013;Good;21;0.008058444;0.004468997;0.013063866;0.001312523;0.000827291;0.001864293;2;2;0;1.416903409;2.413398866;0.053267045;53.01140131
XER;2013;Poor;704;0.008533834;0.003245681;0.015908072;0.001280639;0.00157101;0.000950452;5;5;81.20898648;0.99354343;1.41942167;0.117968608;8.678927291
XER;2014;Poor;62;0.007122117;0.008286525;0.005692687;0.00071228;0.00136075;0.000850149;4;4;89.00764351;1.012288681;1.270052542;0.065684549;8.820501765
SPL;2014;Poor;116;0.008654843;0.011175411;0.005560588;0.000981152;0.001141387;0.000797556;5;5;37.91506002;1.831298801;1.554637694;0.341690201;31.35127301
XER;2013;Poor;13;0.00819867;0.00906401;0.006991969;0.001214777;0.001409093;0.000993815;2;1;89.76978918;1.025177553;1.454726595;0.074278462;6.883685021
SPL;2014;Good;458;0.007418441;0.007584747;0.007214283;0.00099645;0.001280009;0.000671549;7;7;0;3.389639816;3.198074688;0.18751465;30.03048777
XER;2014;Poor;39;0.009065874;0.012949123;0.004298786;0.001127407;0.001488509;0.000713659;6;5;45.4834412;2.033086547;1.592818459;0.350619019;32.37672779
WMT;2013;Poor;47;0.007367755;0.007456093;0.007244569;0.001315401;0.001230864;0.001411529;3;3;67.8905673;1.607335953;1.359913384;0.14428896;11.90747664
SPL;2014;Poor;244;0.009457666;0.006851273;0.012657281;0.001022458;0.001112999;0.000918716;4;4;0;0.270069776;0.816804411;0.00734484;6.409730296
WMT;2013;Good;3;0.008110676;0.002314839;0.016192872;0.001297796;0.000161553;0.002589846;1;1;65.5061768;1.984598107;2.00952539;0.048130916;6.985892272
XER;2014;Good;5;0.007493364;0.009984763;0.004434915;0.001128791;0.000256632;0.002128105;1;1;0;0.580551524;1.301103132;0;17.85111415
XER;2014;Poor;102;0.009069781;0.005409875;0.013562691;0.001124858;0.001172718;0.001070021;3;3;87.19363779;1.33660682;1.642319056;0.075912761;12.60730656
XER;2014;Good;9;0.007851021;0.009913557;0.005319047;0.001118366;0.001154977;0.001076417;4;3;8.390541571;1.032608696;2.395509412;0;6.037964325
XER;2014;Poor;180;0.010142864;0.002928674;0.018999024;0.001126861;0.001487048;0.000714161;5;5;83.06742052;1.56336958;1.534636942;0.202501424;16.71339933
WMT;2013;Good;6;0.007956197;0.006620463;0.009818854;0.00133468;0.000884748;0.001846307;2;2;89.50402847;0.941212321;1.18261994;0.06216404;4.14629244
XER;2014;Poor;281;0.008437102;0.010190422;0.006284722;0.001115375;0.001459124;0.000721508;5;5;0.02268128;0.331307979;1.127529327;0.003024171;5.755869393
XER;2014;Poor;17;0.008047789;0.006197868;0.010318757;0.001138639;0.001205697;0.001061804;3;3;91.37558204;1.058011733;1.456634698;0.064188567;3.296045276
SPL;2014;Poor;483;0.007917731;0.005865266;0.010437343;0.000999297;0.001258018;0.000702857;7;6;2.468415778;0.618286813;1.569402084;0.015607288;10.55560957
SPL;2014;Poor;88;0.019471253;0.025317922;0.005744649;0.001021554;0.001240217;0.000771012;5;5;27.66845324;1.0932747;1.269301806;0.015680014;3.204680603
XER;2014;Poor;24;0.020878161;0.02190867;0.018458768;0.001120723;0.001163846;0.001071313;3;3;36.26375558;1.753841596;1.537415151;0.311676916;28.96678395
SPL;2014;Poor;260;0.02135381;0.018656751;0.027685871;0.000999297;0.001258018;0.000702857;6;6;37.91444443;1.831267704;1.554634991;0.341684243;31.35089244
SPL;2013;Poor;24;0.007869652;0.010822413;0.003752078;0.001191635;0.001340714;0.001022113;6;5;84.87514772;1.865347872;1.720860404;0.218403188;21.4056944
WMT;2013;Good;18;0.008335991;-6.35E-05;0.020048991;0.001291429;0.000127673;0.002614763;1;1;11.05188199;6.118093748;2.746400533;1.343454104;137.0205339
SPL;2013;Poor;2;0.011769251;0.008231476;0.004151977;0.00126131;2.12E-05;0.002671412;1;1;70.49569372;1.465189948;1.40219362;0.10241019;7.906564197
WMT;2014;Good;8;0.016843389;0.020417939;0.008451184;0.001145684;0.000294359;0.002121128;1;1;0.021873751;0.73619804;1.720721087;0.039221898;4.979371899
NAP;2014;Good;208;0.020441572;0.024201488;0.011614174;0.001026713;0.001322946;0.000687291;6;6;0;0.17167445;1.047938041;0.000445202;2.889946905
NAP;2014;Poor;141;0.023355806;0.007118296;0.061477659;0.001049566;0.00137343;0.000678485;6;6;78.92188992;2.403540293;1.726644803;0.379815999;30.95492469
NAP;2014;Good;200;0.014607724;0.015340003;0.012888505;0.001024237;0.001354642;0.000645661;10;10;0.007125795;0.785673914;1.852584247;0.015871088;10.19114087
NAP;2014;Poor;160;0.016662557;0.021065625;0.006325188;0.001009537;0.001292202;0.000685662;14;11;84.8548292;1.224421591;1.521350799;0.119827231;10.41122333
NAP;2014;Good;258;0.015780264;0.009604201;0.030280208;0.00101243;0.001331939;0.000646339;7;7;29.45066892;1.564420793;1.446873437;0.279137572;28.8422942
NAP;2014;Poor;1806;0.015735582;0.012951472;0.022272017;0.001079155;0.001480584;0.0006192;12;10;0.000957428;0.709794009;1.531677411;0.015318847;17.32400657
NAP;2014;Poor;128;0.017220952;0.021999503;0.006002039;0.001036361;0.001384301;0.000637693;7;7;81.12537283;1.321693577;1.437732042;0.17938184;12.55527454
NAP;2014;Poor;471;0.022122931;0.000360691;0.073215551;0.001001615;0.001282239;0.000680079;10;10;81.91366753;1.054489704;1.334721206;0.063353049;4.570445092
NAP;2014;Poor;1158;0.016663015;0.011223669;0.02943332;0.001035125;0.001308131;0.000722316;18;12;0;0.227816651;0.812459994;0;5.333905696
NAP;2014;Poor;1254;0.014113227;0.016275987;0.009035577;0.001012493;0.001258004;0.000731187;16;12;0.192332085;1.264199052;1.380915383;0.106390965;13.13261686
NAP;2014;Good;218;0.014715121;0.014569575;0.015056829;0.001004574;0.001303488;0.00066208;16;10;12.30376844;1.082381112;1.512129506;0.14683244;17.56339558
NAP;2014;Good;86;0.014579968;0.017672844;0.007318625;0.001023091;0.001238719;0.000776025;5;5;64.84681385;1.476488716;1.599444905;0.242407928;20.04733052
NAP;2014;Good;234;0.012124808;0.010247941;0.016531251;0.001018824;0.00134626;0.00064365;7;7;0;0.131832619;1.051435522;0.000335405;2.087035865
NAP;2014;Poor;233;0.012245677;0.011545936;0.013888503;0.001019606;0.001347773;0.000643594;8;7;83.2393169;1.605594622;1.678694887;0.069546403;14.62574935
NAP;2014;Poor;389;0.01782577;0.023000758;0.005676113;0.001014143;0.001332063;0.000649872;10;10;72.04279848;0.969085597;1.002338949;0;3.6565931
NAP;2013;Good;195;0.007691745;0.009706547;0.004882139;0.001289176;0.000766264;0.001883792;2;2;0.19615834;1.660479855;1.645857034;0.17673097;21.87901206
NAP;2013;Good;65;0.007856385;0.010742489;0.003831761;0.001196107;0.001175782;0.001219219;5;4;0;0.29615152;0.905309029;0.015010956;1.951630605
NAP;2013;Good;128;0.008431407;0.011496806;0.00415676;0.001167635;0.00149254;0.000798177;7;7;73.8988183;1.226853286;1.564998389;0.167887691;17.15004538
NAP;2013;Good;46;0.008229252;0.011286818;0.003965527;0.001275647;0.001372755;0.001165223;4;4;0.145901776;0.819197726;1.56175124;0.075820388;7.45626695
NAP;2013;Good;92;0.008325186;0.00520317;0.012678783;0.001216823;0.001652543;0.000721354;8;8;56.82234509;1.317780651;1.575515458;0.189680943;18.68882067
NAP;2013;Good;171;0.008285717;0.006955287;0.010140978;0.001322973;0.000215869;0.002581889;1;1;29.43048538;1.563339901;1.44702751;0.278827022;28.82406542
CPL;2014;Good;192;0.016087246;0.019311715;0.008516953;0.00099775;0.00100695;0.000987209;16;16;28.1454476;1.498163926;1.44277923;0.26933826;27.13957512
CPL;2014;Good;88;0.017347022;0.021384344;0.00786834;0.001063195;0.001442438;0.00062866;18;10;0.125564995;0.820671583;1.565571672;0.076061899;7.479626266
CPL;2014;Poor;116;0.013550182;0.015875251;0.008091465;0.001065897;0.001290927;0.000808059;14;14;0.288358497;1.682265829;1.71137772;0.172065008;27.01041912
CPL;2013;Poor;220;0.008223942;0.008200591;0.008256505;0.001251789;0.001710536;0.000730137;15;13;0;0;0.3881673;0;0.1668027
SAP;2014;Good;87;0.011966906;0.013820096;0.007616051;0.001021477;0.001228594;0.000784162;5;5;89.78171346;1.109769195;1.514038306;0.109109068;13.08790865
SAP;2014;Good;51;0.016098562;0.020083324;0.006743277;0.001019371;0.001354704;0.000635149;8;8;20.87132328;1.062615773;1.370129969;0.19596192;16.51710966
CPL;2013;Good;311;0.007863074;0.009013909;0.006258255;0.001259349;0.001685709;0.000774524;17;14;28.20462564;0.563112505;0.81028471;0;7.242436713
CPL;2013;Good;87;0.007979831;0.010957911;0.003826949;0.00126665;0.001801477;0.000658486;12;9;29.41636608;1.570591072;1.448793468;0.280467286;29.04658655
CPL;2013;Good;213;0.007255008;0.007937676;0.00630304;0.001255416;0.001627259;0.000832583;15;15;0;0.125596112;0.757557146;0.000760589;2.364789304
CPL;2013;Good;609;0.007418646;0.006358243;0.00889736;0.001250148;0.001764203;0.000665603;11;11;0.000383419;0.780362284;1.374495268;0.115910501;9.708367493
CPL;2013;Good;52;0.007212286;0.007611295;0.006655876;0.001275465;0.001821466;0.000654593;11;11;0;0.988166221;1.255662116;0.037427484;4.950557417
SAP;2013;Good;136;0.007019915;0.005736621;0.008809445;0.001203745;0.001657388;0.000687897;11;10;87.61789601;0.833418424;1.341832897;0.054637467;5.536921769
SAP;2013;Good;37;0.007314705;0.005493192;0.009854774;0.001224888;0.001709319;0.00067403;14;10;46.1461674;3.733104986;2.001038645;0.892539772;66.70893518
SAP;2013;Good;68;0.007388012;0.008406646;0.005967545;0.001229059;0.001557698;0.000855356;8;6;0;0.51194954;2.009248674;0;5.184834391
CPL;2013;Good;6;0.008029147;0.00987678;0.005452653;0.001289832;0.001400517;0.001163969;7;4;0;0.361013468;1.125974918;0;5.037953923
SAP;2014;Good;43;0.015367876;0.016022411;0.013831183;0.00102456;0.001359396;0.000640906;8;7;80.76730942;1.093415926;1.791790398;0.019982016;2.798480343
CPL;2014;Poor;220;0.017997394;0.01875628;0.016215709;0.001084904;0.001287168;0.000853151;17;15;28.41617192;0.475884402;1.136257321;0.003679898;4.53199936
CPL;2014;Good;473;0.017177708;0.021153402;0.007843712;0.001036053;0.001270047;0.000767944;13;13;0;0.674221521;1.937274386;0.006569439;6.773239328
CPL;2014;Poor;155;0.012683941;0.013971259;0.00966162;0.001054348;0.001417217;0.000638574;9;9;57.24889817;0.959197402;1.220274462;0.030155416;6.383535621
CPL;2014;Poor;66;0.012807208;0.014675513;0.008420868;0.001060317;0.00143309;0.000633196;11;9;83.22860777;1.083235847;1.362973733;0.063838994;6.017486108
CPL;2014;Good;33;0.015249798;0.018643467;0.007282263;0.001077225;0.001461379;0.000637064;18;10;0;1.962123894;1.898869586;0.283185841;13.93540357
CPL;2014;Good;114;0.014495087;0.01446876;0.014556897;0.00107517;0.001397257;0.000706124;33;12;0;0.02301403;0.225939481;0;23.15998271
CPL;2014;Good;484;0.021096865;0.017786387;0.02886909;0.001033215;0.00116947;0.000877094;16;15;77.32642822;0.872115229;1.669210203;0.071208933;1.931021681
CPL;2014;Poor;48;0.01273965;0.014104956;0.009534231;0.001070798;0.001389898;0.000705175;13;12;71.48691887;2.005368466;1.470363795;0.241045087;12.80441106
CPL;2014;Good;245;0.0165113;0.020903149;0.006200271;0.001050426;0.001110311;0.000981811;20;17;0.126191462;0.392107362;1.493608334;0.00723567;21.65671734
CPL;2014;Good;135;0.015375256;0.018586386;0.007836278;0.001056702;0.001125104;0.000978327;19;17;0;0.607819011;1.332287642;0.056597713;1.645754756
CPL;2014;Good;121;0.013777716;0.015717567;0.0092234;0.001103353;0.001524897;0.000620351;8;7;0;0.109184225;0.611957711;0.001419569;0.771332835
