SITE_ID;Year;Site;Organism;Richness
FW08NC079;2009;Usstreams;Fish;5
FW08TN285;2008;Usstreams;Fish;29
FW08MS203;2008;Usstreams;Fish;28
FW08MA003;2009;Usstreams;Fish;11
FW08TN085;2008;Usstreams;Fish;28
RIRO_1003;2014;Usstreams;Fish;9
OKS9_0941;2014;Usstreams;Fish;9
FW08MS127;2008;Usstreams;Fish;25
FW08IA005;2008;Usstreams;Fish;12
FW08LA131;2008;Usstreams;Fish;13
FW08MN061;2009;Usstreams;Fish;25
OKR9_0903;2014;Usstreams;Fish;21
FW08WA029;2008;Usstreams;Fish;2
FW08TX061;2009;Usstreams;Fish;20
FW08NE057;2009;Usstreams;Fish;6
CORM_1007;2014;Usstreams;Fish;3
FW08ND046;2009;Usstreams;Fish;9
FW08IL012;2009;Usstreams;Fish;13
FW08ND006;2008;Usstreams;Fish;6
FW08CA207;2009;Usstreams;Fish;2
FW08CO066;2009;Usstreams;Fish;2
IARO_1014;2014;Usstreams;Fish;25
OKRM_1020;2014;Usstreams;Fish;24
FW08LA049;2009;Usstreams;Fish;22
FW08OK034;2009;Usstreams;Fish;22
IAR9_0909;2014;Usstreams;Fish;21
FW08MN051;2009;Usstreams;Fish;21
TXRM_1018;2014;Usstreams;Fish;20
FW08WV037;2009;Usstreams;Fish;6
FW08IA010;2009;Usstreams;Fish;17
FW08MI020;2009;Usstreams;Fish;17
FW08OK048;2009;Usstreams;Fish;15
FW08IA047;2009;Usstreams;Fish;12
FW08OK057;2009;Usstreams;Fish;13
FW08AR010;2008;Usstreams;Fish;27
SDR9_0919;2014;Usstreams;Fish;7
FW08OK020;2008;Usstreams;Fish;5
FW08MS014;2008;Usstreams;Fish;26
MIR9_0906;2014;Usstreams;Fish;6
NYR9_0904;2013;Usstreams;Fish;14
NYRO_1050;2013;Usstreams;Fish;14
MNRM_1011;2013;Usstreams;Fish;11
FW08RIA9038;2008;Usstreams;Fish;11
FW08IA013;2008;Usstreams;Fish;13
FW08LA151;2008;Usstreams;Fish;18
FW08RND010456;2008;Usstreams;Fish;10
FW08LA198;2008;Usstreams;Fish;11
FW08OR025;2009;Usstreams;Fish;1
FW08TN044;2009;Usstreams;Fish;2
FW08MI053;2009;Usstreams;Fish;2
FW08ND138;2009;Usstreams;Fish;3
FW08SD004;2008;Usstreams;Fish;2
ARRM_1002;2013;Usstreams;Fish;29
FW08AR303;2009;Usstreams;Fish;3
FW08LA009;2009;Usstreams;Fish;14
ARR9_0904;2013;Usstreams;Fish;20
FW08MN052;2009;Usstreams;Fish;8
OKR9_0911;2013;Usstreams;Fish;16
ARSS_1091;2013;Usstreams;Fish;10
KSR9_0905;2013;Usstreams;Fish;10
FW08RMO9006;2008;Usstreams;Fish;13
AZSS_1116;2014;Usstreams;Fish;1
AZR9_0901;2013;Usstreams;Fish;1
FW08NE050;2009;Usstreams;Fish;2
FW08IA031;2008;Usstreams;Fish;2
TNS9_0920;2014;Usstreams;Fish;2
FW08IA037;2009;Usstreams;Fish;23
ARR9_0902;2013;Usstreams;Fish;26
UTRM_1006;2014;Usstreams;Fish;2
FW08LA134;2008;Usstreams;Fish;17
FW08OK051;2009;Usstreams;Fish;11
CORO_1032;2014;Usstreams;Fish;6
MERO_1027;2014;Usstreams;Fish;5
IARO_1016;2014;Usstreams;Fish;9
FW08WA017;2009;Usstreams;Fish;8
MTR9_0906;2014;Usstreams;Fish;5
SDRM_1007;2013;Usstreams;Fish;5
FW08RKS9888;2008;Usstreams;Fish;18
KSR9_0911;2013;Usstreams;Fish;9
FW08RNE9022;2008;Usstreams;Fish;15
FW08IA055;2008;Usstreams;Fish;13
FW08WI046;2008;Usstreams;Fish;15
FW08LA167;2008;Usstreams;Fish;17
FW08ND049;2008;Usstreams;Fish;10
FW08TN049;2008;Usstreams;Fish;28
OKR9_0901;2013;Usstreams;Fish;6
FW08IL008;2009;Usstreams;Fish;1
MTRF_0102;2014;Usstreams;Fish;1
FW08RTNECO65E08;2009;Usstreams;Fish;2
IAR9_0908;2014;Usstreams;Fish;26
FW08KY039;2009;Usstreams;Fish;21
FW08OK013;2009;Usstreams;Fish;7
MSRO_1022;2014;Usstreams;Fish;21
FW08AR116;2009;Usstreams;Fish;21
FW08RMO9113;2009;Usstreams;Fish;14
FW08NE166;2009;Usstreams;Fish;10
FW08MO025;2009;Usstreams;Fish;13
FW08ND002;2009;Usstreams;Fish;7
ARR9_0908;2013;Usstreams;Fish;21
FW08SD016;2008;Usstreams;Fish;3
FW08SD034;2009;Usstreams;Fish;6
FW08RMN9064;2009;Usstreams;Fish;9
FW08LA099;2009;Usstreams;Fish;13
MESS_1109;2014;Usstreams;Fish;6
MER9_0902;2014;Usstreams;Fish;9
NHRF_0004;2014;Usstreams;Fish;6
MTR9_0913;2013;Usstreams;Fish;4
TXSS_1216;2013;Usstreams;Fish;10
ILSS_1128;2013;Usstreams;Fish;14
ORR9_0909;2014;Usstreams;Fish;5
NYSS_1238;2013;Usstreams;Fish;9
FW08MO023;2008;Usstreams;Fish;7
FW08IA036;2008;Usstreams;Fish;15
FW08LA036;2008;Usstreams;Fish;16
FW08MD028;2009;Usstreams;Fish;1
FW08CO037;2009;Usstreams;Fish;1
FW08SD037;2009;Usstreams;Fish;3
PARO_1049;2014;Usstreams;Fish;20
FW08ND053;2009;Usstreams;Fish;4
KYRM_1002;2013;Usstreams;Fish;22
FW08OK059;2009;Usstreams;Fish;15
FW08KS044;2009;Usstreams;Fish;9
FW08IL005;2009;Usstreams;Fish;8
FW08NE016;2009;Usstreams;Fish;7
ARRM_1004;2013;Usstreams;Fish;19
NYR9_0907;2014;Usstreams;Fish;12
MTRM_1010;2014;Usstreams;Fish;10
FW08NE060;2008;Usstreams;Fish;5
NERO_1039;2013;Usstreams;Fish;12
FW08LA100;2008;Usstreams;Fish;22
FW08OK023;2008;Usstreams;Fish;18
FW08AR274;2008;Usstreams;Fish;23
FW08LA228;2008;Usstreams;Fish;13
FW08CA056;2008;Usstreams;Fish;7
UTS9_0929;2014;Usstreams;Fish;1
AZRM_1002;2013;Usstreams;Fish;1
MSR9_0903;2014;Usstreams;Fish;28
NDRM_1002;2014;Usstreams;Fish;2
FW08AR032;2009;Usstreams;Fish;17
MERM_1005;2014;Usstreams;Fish;3
FW08CO007;2009;Usstreams;Fish;4
FW08MO024;2009;Usstreams;Fish;13
FW08MI054;2009;Usstreams;Fish;6
TNSS_1082;2014;Usstreams;Fish;3
MTRO_1065;2014;Usstreams;Fish;3
OKRO_1086;2013;Usstreams;Fish;19
FW08SD056;2009;Usstreams;Fish;6
FW08LA079;2009;Usstreams;Fish;5
FW08ND026;2008;Usstreams;Fish;4
FW08RMN9038;2009;Usstreams;Fish;9
IAS9_0919;2014;Usstreams;Fish;8
MIR9_0910;2014;Usstreams;Fish;6
OKRO_1088;2013;Usstreams;Fish;16
MTR9_0904;2014;Usstreams;Fish;7
ILR9_0903;2014;Usstreams;Fish;11
MELS_1053;2014;Usstreams;Fish;8
FW08MN045;2009;Usstreams;Fish;1
OKR9_0909;2013;Usstreams;Fish;7
FW08IA028;2008;Usstreams;Fish;18
FW08OK002;2008;Usstreams;Fish;16
FW08LA195;2008;Usstreams;Fish;14
FW08LA182;2008;Usstreams;Fish;9
FW08LA051;2008;Usstreams;Fish;12
IAR9_0903;2014;Usstreams;Fish;29
IALS_1054;2014;Usstreams;Fish;21
FW08OK099;2009;Usstreams;Fish;19
FW08MO037;2009;Usstreams;Fish;19
FW08RIA9106;2009;Usstreams;Fish;7
IARO_1017;2014;Usstreams;Fish;15
FW08MS002;2009;Usstreams;Fish;18
FW08AR080;2009;Usstreams;Fish;13
SDRM_1004;2014;Usstreams;Fish;14
OKSS_1429;2014;Usstreams;Fish;4
FW08MS139;2008;Usstreams;Fish;26
NYR9_0903;2013;Usstreams;Fish;16
NYRM_1007;2013;Usstreams;Fish;14
FW08RKS9999;2008;Usstreams;Fish;19
VTS9_0909;2013;Usstreams;Fish;7
FW08MN024;2008;Usstreams;Fish;11
FW08IN010;2009;Usstreams;Fish;26
TXSS_1229;2014;Usstreams;Fish;1
FW08CO136;2009;Usstreams;Fish;2
NESS_1128;2014;Usstreams;Fish;2
SDRM_1005;2014;Usstreams;Fish;2
FW08ND081;2009;Usstreams;Fish;3
OKRM_1006;2013;Usstreams;Fish;24
FW08MI077;2009;Usstreams;Fish;6
FW08NE003;2009;Usstreams;Fish;7
FW08OR037;2009;Usstreams;Fish;3
FW08NE066;2009;Usstreams;Fish;4
FW08IN007;2009;Usstreams;Fish;8
ILLS_1067;2013;Usstreams;Fish;18
MOLS_1080;2013;Usstreams;Fish;15
FW08IL023;2009;Usstreams;Fish;7
NERO_1037;2014;Usstreams;Fish;15
FW08IN008;2008;Usstreams;Fish;25
MAS9_0916;2013;Usstreams;Fish;6
FW08OK061;2008;Usstreams;Fish;15
FW08ND063;2008;Usstreams;Fish;9
FW08ME016;2008;Usstreams;Fish;8
FW08NC013;2009;Usstreams;Fish;2
FW08AR114;2009;Usstreams;Fish;20
FW08IN030;2008;Usstreams;Fish;31
FW08IA024;2009;Usstreams;Fish;15
FW08IN012;2009;Usstreams;Fish;7
FW08AR016;2009;Usstreams;Fish;16
FW08NJ005;2009;Usstreams;Fish;8
NDR9_0908;2014;Usstreams;Fish;5
MNR9_0918;2013;Usstreams;Fish;5
MOLS_1088;2013;Usstreams;Fish;14
FW08WI022;2008;Usstreams;Fish;26
OKRM_1022;2014;Usstreams;Fish;17
FW08VT016;2008;Usstreams;Fish;6
FW08AR078;2008;Usstreams;Fish;28
IAR9_0902;2014;Usstreams;Fish;9
FW08SD071;2008;Usstreams;Fish;1
OHS9_0923;2013;Usstreams;Fish;1
FW08SD011;2009;Usstreams;Fish;2
FW08AR052;2009;Usstreams;Fish;25
NDRF_0001;2014;Usstreams;Fish;2
MTRM_1001;2014;Usstreams;Fish;2
SDR9_0913;2014;Usstreams;Fish;20
FW08RMO9011;2009;Usstreams;Fish;10
FW08SD015;2009;Usstreams;Fish;5
FW08IA035;2009;Usstreams;Fish;15
FW08MO019;2009;Usstreams;Fish;15
IALS_1055;2014;Usstreams;Fish;4
FW08TX068;2009;Usstreams;Fish;6
FW08OH018;2008;Usstreams;Fish;26
FW08MA019;2009;Usstreams;Fish;13
IAS9_0932;2014;Usstreams;Fish;5
SDR9_0907;2013;Usstreams;Fish;4
ILR9_0901;2014;Usstreams;Fish;15
MOS9_0939;2013;Usstreams;Fish;15
FW08OK047;2009;Usstreams;Fish;13
NER9_0908;2014;Usstreams;Fish;5
FW08WI030;2008;Usstreams;Fish;28
FW08SD023;2008;Usstreams;Fish;3
TNSS_1072;2014;Usstreams;Fish;4
FW08OK074;2009;Usstreams;Fish;10
INRM_1002;2014;Usstreams;Fish;13
FW08RWI9226;2008;Usstreams;Fish;25
TNSS_1065;2014;Usstreams;Fish;5
WYLS_1097;2014;Usstreams;Fish;5
SDRM_1013;2014;Usstreams;Fish;4
WAS9_0917;2014;Usstreams;Fish;4
CTR9_0906;2014;Usstreams;Fish;7
WAR9_0907;2014;Usstreams;Fish;4
OKLS_1182;2013;Usstreams;Fish;15
PALS_1087;2013;Usstreams;Fish;13
FW08IA042;2008;Usstreams;Fish;22
CTR9_0903;2014;Usstreams;Fish;10
ORRF_0113;2014;Usstreams;Fish;6
ORR9_0902;2013;Usstreams;Fish;7
WAR9_0901;2013;Usstreams;Fish;7
FW08ND040;2008;Usstreams;Fish;12
FW08ND044;2008;Usstreams;Fish;8
FW08NE092;2009;Usstreams;Fish;1
FW08AZ139;2009;Usstreams;Fish;1
MORM_1001;2014;Usstreams;Fish;26
IAS9_0929;2014;Usstreams;Fish;21
OKLS_1204;2014;Usstreams;Fish;18
SDR9_0905;2014;Usstreams;Fish;3
PAR9_0903;2013;Usstreams;Fish;18
WVSS_1044;2014;Usstreams;Fish;14
MAR9_0903;2014;Usstreams;Fish;8
TXRF_0009;2013;Usstreams;Fish;11
FW08WV030;2008;Usstreams;Fish;19
FW08MT008;2008;Usstreams;Fish;6
MARM_1001;2014;Usstreams;Fish;10
FW08PA039;2008;Usstreams;Fish;12
FW08RIA9037;2008;Usstreams;Fish;10
FW08AR276;2009;Usstreams;Fish;2
FW08MO029;2009;Usstreams;Fish;21
MORM_1003;2014;Usstreams;Fish;21
FW08IA021;2009;Usstreams;Fish;18
FW08NE189;2009;Usstreams;Fish;5
FW08NC003;2009;Usstreams;Fish;15
FW08WV012;2009;Usstreams;Fish;18
FW08IL041;2009;Usstreams;Fish;5
ARRO_1024;2013;Usstreams;Fish;20
NELS_1083;2014;Usstreams;Fish;3
FW08LA062;2009;Usstreams;Fish;5
FW08KS023;2009;Usstreams;Fish;8
NDR9_0906;2014;Usstreams;Fish;3
FW08OK038;2009;Usstreams;Fish;10
FW08MO007;2008;Usstreams;Fish;3
FW08OK032;2009;Usstreams;Fish;11
MAS9_0915;2014;Usstreams;Fish;9
ARS9_0950;2013;Usstreams;Fish;5
NYS9_0933;2013;Usstreams;Fish;15
MOLS_1079;2014;Usstreams;Fish;8
NDRO_1026;2014;Usstreams;Fish;7
OKS9_0932;2013;Usstreams;Fish;12
MTRO_1073;2014;Usstreams;Fish;6
ILS9_0919;2014;Usstreams;Fish;9
CORM_1005;2014;Usstreams;Fish;5
KSRS_1317;2013;Usstreams;Fish;9
WALS_1068;2014;Usstreams;Fish;5
FW08SD027;2008;Usstreams;Fish;4
FW08MN019;2008;Usstreams;Fish;15
FW08RKS9777;2008;Usstreams;Fish;7
FW08IA016;2008;Usstreams;Fish;10
FW08OR044;2008;Usstreams;Fish;5
FW08LA052;2008;Usstreams;Fish;18
FW08OR035;2008;Usstreams;Fish;5
FW08RND010458;2008;Usstreams;Fish;8
FW08NE014;2008;Usstreams;Fish;10
ILLS_1074;2013;Usstreams;Fish;22
PARM_1003;2014;Usstreams;Fish;14
KYRF_0002;2013;Usstreams;Fish;4
FW08TN017;2008;Usstreams;Fish;25
OKR9_0908;2013;Usstreams;Fish;14
FW08MO044;2008;Usstreams;Fish;6
FW08IL027;2008;Usstreams;Fish;18
FW08MS006;2008;Usstreams;Fish;16
FW08MA023;2009;Usstreams;Fish;7
WYRF_0102;2014;Usstreams;Fish;2
NMR9_0902;2014;Usstreams;Fish;3
MIR9_0902;2014;Usstreams;Fish;9
SDS9_0941;2013;Usstreams;Fish;1
FW08IA053;2009;Usstreams;Fish;28
ALRM_1002;2013;Usstreams;Fish;21
MSRF_0001;2014;Usstreams;Fish;15
NYRM_1008;2014;Usstreams;Fish;10
NMR9_0906;2014;Usstreams;Fish;6
FW08OR005;2008;Usstreams;Fish;1
SDS9_0944;2014;Usstreams;Fish;1
PALS_1092;2014;Usstreams;Fish;29
FW08TN032;2009;Usstreams;Fish;32
IARM_1001;2014;Usstreams;Fish;22
FW08LA108;2008;Usstreams;Fish;35
FW08PA013;2009;Usstreams;Fish;3
WALS_1067;2014;Usstreams;Fish;2
FW08IN022;2009;Usstreams;Fish;22
NYSS_1249;2013;Usstreams;Fish;3
FW08NE025;2009;Usstreams;Fish;5
FW08IN017;2008;Usstreams;Fish;28
FW08IA019;2009;Usstreams;Fish;17
FW08TN003;2009;Usstreams;Fish;6
FW08IL004;2009;Usstreams;Fish;14
IARF_0005;2013;Usstreams;Fish;17
FW08IN005;2008;Usstreams;Fish;4
FW08OR057;2009;Usstreams;Fish;6
SDLS_1116;2014;Usstreams;Fish;4
TXRM_1006;2013;Usstreams;Fish;16
MOLS_1084;2014;Usstreams;Fish;9
IAS9_0922;2014;Usstreams;Fish;7
OKS9_0936;2013;Usstreams;Fish;15
KSS9_0932;2013;Usstreams;Fish;4
PARM_1006;2013;Usstreams;Fish;16
WYR9_0909;2014;Usstreams;Fish;6
FW08LA044;2008;Usstreams;Fish;24
ILSS_1125;2013;Usstreams;Fish;11
NYRO_1051;2013;Usstreams;Fish;14
FW08NY015;2008;Usstreams;Fish;5
FW08CO025;2008;Usstreams;Fish;4
IDR9_0913;2013;Usstreams;Fish;6
KSRS_1316;2013;Usstreams;Fish;6
FW08CO010;2008;Usstreams;Fish;8
FW08IA008;2008;Usstreams;Fish;13
FW08MN037;2008;Usstreams;Fish;16
FW08GA023;2008;Usstreams;Fish;6
PASS_1163;2013;Usstreams;Fish;1
FW08WV010;2008;Usstreams;Fish;30
FW08MS094;2008;Usstreams;Fish;32
FW08MO086;2008;Usstreams;Fish;30
FW08MS191;2008;Usstreams;Fish;27
FW08NE030;2008;Usstreams;Fish;12
FW08VT013;2008;Usstreams;Fish;13
FW08LA070;2008;Usstreams;Fish;14
FW08IL022;2008;Usstreams;Fish;18
FW08VT022;2008;Usstreams;Fish;6
FW08UT058;2009;Usstreams;Fish;1
FW08AR192;2009;Usstreams;Fish;10
FW08ND007;2008;Usstreams;Fish;14
IALS_1049;2014;Usstreams;Fish;23
FW08KY031;2009;Usstreams;Fish;49
FW08TN033;2009;Usstreams;Fish;40
MSR9_0904;2014;Usstreams;Fish;31
FW08NJ003;2008;Usstreams;Fish;2
FW08KY026;2009;Usstreams;Fish;23
ARRM_1003;2013;Usstreams;Fish;29
FW08KY021;2009;Usstreams;Fish;23
NERM_1005;2014;Usstreams;Fish;16
KSR9_0907;2013;Usstreams;Fish;8
FW08KS018;2008;Usstreams;Fish;17
FW08IN004;2008;Usstreams;Fish;6
FW08OH023;2008;Usstreams;Fish;20
FW08OH008;2009;Usstreams;Fish;2
IAR9_0906;2014;Usstreams;Fish;28
KYRF_0001;2013;Usstreams;Fish;2
WVR9_0901;2014;Usstreams;Fish;22
FW08UT046;2009;Usstreams;Fish;3
FW08IN028;2008;Usstreams;Fish;3
FW08AR036;2009;Usstreams;Fish;19
FW08IN011;2008;Usstreams;Fish;29
PAS9_0925;2014;Usstreams;Fish;3
MORF_0011;2013;Usstreams;Fish;20
FW08NE022;2009;Usstreams;Fish;14
FW08MN006;2009;Usstreams;Fish;14
FW08KS059;2009;Usstreams;Fish;11
FW08LA164;2009;Usstreams;Fish;9
PARO_1054;2014;Usstreams;Fish;14
FW08ND020;2009;Usstreams;Fish;10
FW08ND042;2009;Usstreams;Fish;9
FW08MT023;2008;Usstreams;Fish;3
WYRF_0101;2014;Usstreams;Fish;4
FW08IN002;2008;Usstreams;Fish;25
OKRM_1026;2014;Usstreams;Fish;12
MER9_0908;2014;Usstreams;Fish;8
MNRM_1006;2013;Usstreams;Fish;13
FW08OR019;2008;Usstreams;Fish;4
MTR9_0901;2013;Usstreams;Fish;5
FW08NY039;2008;Usstreams;Fish;20
FW08KS005;2008;Usstreams;Fish;6
FW08IA054;2008;Usstreams;Fish;15
FW08MO001;2008;Usstreams;Fish;17
FW08KY032;2008;Usstreams;Fish;14
KYR9_0904;2014;Usstreams;Fish;24
PARM_1007;2013;Usstreams;Fish;21
MTR9_0916;2013;Usstreams;Fish;15
FW08VT014;2008;Usstreams;Fish;14
FW08ND055;2008;Usstreams;Fish;9
TXS9_0929;2013;Usstreams;Fish;9
NVR9_0920;2013;Usstreams;Fish;1
FW08ND043;2008;Usstreams;Fish;6
OKRM_1021;2014;Usstreams;Fish;16
FW08OR016;2008;Usstreams;Fish;7
MESS_1104;2014;Usstreams;Fish;1
PAR9_0907;2014;Usstreams;Fish;15
FW08NY003;2008;Usstreams;Fish;1
SDSS_1186;2013;Usstreams;Fish;1
MASS_1072;2014;Usstreams;Fish;1
FW08MN047;2009;Usstreams;Fish;2
FW08TN037;2009;Usstreams;Fish;27
FW08IN006;2009;Usstreams;Fish;24
WYRM_1003;2014;Usstreams;Fish;2
FW08IN033;2008;Usstreams;Fish;31
FW08AL006;2009;Usstreams;Fish;21
TXR9_0911;2014;Usstreams;Fish;2
FW08ND041;2009;Usstreams;Fish;4
WIRM_1004;2014;Usstreams;Fish;18
FW08ND161;2009;Usstreams;Fish;6
FW08SD078;2009;Usstreams;Fish;5
FW08OR071;2009;Usstreams;Fish;4
FW08NE015;2009;Usstreams;Fish;11
SDLS_1113;2013;Usstreams;Fish;3
FW08KS017;2009;Usstreams;Fish;7
FW08TN261;2008;Usstreams;Fish;28
SCS9_0920;2014;Usstreams;Fish;16
FW08AR044;2009;Usstreams;Fish;8
IARF_0002;2013;Usstreams;Fish;7
SDR9_0909;2013;Usstreams;Fish;5
WISS_1166;2013;Usstreams;Fish;5
KYS9_0926;2013;Usstreams;Fish;11
ILLS_1071;2013;Usstreams;Fish;12
KSR9_0901;2013;Usstreams;Fish;5
FW08MN049;2008;Usstreams;Fish;20
FW08IL042;2009;Usstreams;Fish;1
PAS9_0919;2013;Usstreams;Fish;1
FW08TN016;2009;Usstreams;Fish;32
FW08PA016;2009;Usstreams;Fish;31
FW08AR017;2009;Usstreams;Fish;29
ILS9_0921;2013;Usstreams;Fish;25
IDS9_0926;2014;Usstreams;Fish;2
OKRM_1004;2013;Usstreams;Fish;24
ORRF_0115;2014;Usstreams;Fish;2
WYR9_0903;2014;Usstreams;Fish;2
FW08IA046;2009;Usstreams;Fish;18
SDRF_0002;2014;Usstreams;Fish;3
FW08OK025;2009;Usstreams;Fish;17
FW08OR064;2009;Usstreams;Fish;4
FW08ND118;2009;Usstreams;Fish;6
FW08MI079;2009;Usstreams;Fish;6
FW08OK017;2009;Usstreams;Fish;10
WVSS_1041;2014;Usstreams;Fish;15
FW08RMN9093;2009;Usstreams;Fish;8
NYSS_1237;2013;Usstreams;Fish;8
MNR9_0908;2013;Usstreams;Fish;19
NYR9_0916;2014;Usstreams;Fish;10
PARM_1002;2013;Usstreams;Fish;14
NYS9_0929;2013;Usstreams;Fish;12
NHR9_0902;2013;Usstreams;Fish;12
SDR9_0902;2013;Usstreams;Fish;8
ALS9_0920;2013;Usstreams;Fish;9
FW08AR035;2008;Usstreams;Fish;5
ORRM_1001;2013;Usstreams;Fish;9
FW08TX055;2008;Usstreams;Fish;12
FW08PA023;2008;Usstreams;Fish;10
FW08DE010;2008;Usstreams;Fish;16
FW08OH019;2008;Usstreams;Fish;35
INRO_1027;2013;Usstreams;Fish;24
WVLS_1019;2014;Usstreams;Fish;20
FW08RMO9108;2009;Usstreams;Fish;10
FW08MT049;2009;Usstreams;Fish;14
NYR9_0914;2014;Usstreams;Fish;13
FW08MO018;2009;Usstreams;Fish;21
NDR9_0921;2014;Usstreams;Fish;4
PARO_1050;2013;Usstreams;Fish;18
FW08UT061;2009;Usstreams;Fish;8
MORF_0010;2013;Usstreams;Fish;18
MER9_0906;2014;Usstreams;Fish;7
OKRF_0101;2014;Usstreams;Fish;7
FW08IA057;2009;Usstreams;Fish;21
MNRO_1052;2013;Usstreams;Fish;10
OKR9_0912;2013;Usstreams;Fish;26
FW08WA040;2008;Usstreams;Fish;2
TXS9_0928;2013;Usstreams;Fish;5
MORF_0003;2013;Usstreams;Fish;14
MORO_1045;2013;Usstreams;Fish;12
FW08TN009;2009;Usstreams;Fish;2
FW08KY034;2009;Usstreams;Fish;24
WIRO_1055;2014;Usstreams;Fish;24
ILRO_1026;2014;Usstreams;Fish;22
ILLS_1069;2013;Usstreams;Fish;15
NDSS_1105;2013;Usstreams;Fish;2
FW08MN022;2009;Usstreams;Fish;19
FW08PA010;2009;Usstreams;Fish;14
FW08MI009;2009;Usstreams;Fish;8
SDR9_0904;2013;Usstreams;Fish;3
NDRO_1029;2014;Usstreams;Fish;4
WIR9_0904;2014;Usstreams;Fish;15
