Ecoregions;YEAR;HabitatComplexity;InsectDensity;LocalInsectTotalLCBD;LocalInsectReplLCBD;LocalInsectRichLCBD;RegionalInsectTotalLBCD;RegionalInsectReplLBCD;RegionalInsectRichLBCD;Insect_RarefiedChaoRichness;ObservedInsectRichness;CroplandIntensity;AnthropogenicImperviousnessSufaces;RoadsDensity;HighIntensiveLandUse;DensidadePopulational
TPL;2009;Poor;285;0.004311569;0.005006243;0.003111105;0.000735226;0.000947696;0.000384235;51.00;30;5.851068896;0.21;0.43;0.01;1.74
SPL;2008;Poor;455;0.00916303;0.00999162;0.007569204;0.001196045;0.001393922;0.000850427;61.00;39;3.720087;0.22;0.68;0.01;0.71
NPL;2008;Poor;16;0.010621587;0.0139104;0.004295421;0.001429143;0.000363654;0.003290159;11.00;8;4.482407;0.37;0.76;0.02;2.34
NPL;2009;Poor;429;0.006399964;0.008338788;0.00355753;0.00083682;0.001142225;0.000332306;28.00;25;53.43267;0.42;0.87;0;0.25
NPL;2008;Poor;221;0.009375455;0.010893749;0.006454954;0.00119723;0.001560053;0.000563511;61.00;31;17.92103;0.25;0.66;0.01;0.7
NPL;2009;Poor;353;0.005923567;0.007511049;0.003596222;0.000695309;0.000806456;0.000511699;47.00;35;0.04815188;0.08;0.96;0;0.3
NPL;2009;Poor;8;0.008914054;0.003706439;0.016548733;0.000884337;2.10E-06;0.002341748;9.00;5;5.612265;0.36;0.72;0.01;1.76
NPL;2009;Poor;20;0.007385107;0.008902023;0.005161216;0.000877347;0.000572954;0.00138019;14.00;10;6.885556;0.36;0.71;0.01;1.76
NPL;2009;Poor;535;0.006246853;0.006052908;0.006531189;0.000697458;0.000760037;0.000594082;58.00;38;2.304501;0.14;0.91;0;0.26
SAP;2008;Poor;305;0.008996208;0.010915251;0.005304849;0.001174378;0.001520306;0.000570169;39.00;29;0;13.34;3.7;3.23;63.65
SPL;2009;Poor;6;0.007344984;0.00939218;0.003696034;0.000908955;6.06E-05;0.002310364;12.00;5;31.95662;0.63;1.38;0.12;12.31
SPL;2009;Poor;291;0.007959619;0.010478505;0.003469921;0.000749015;0.000810549;0.000647363;46.00;18;3.696893;0.15;0.94;0.01;1.03
WMT;2009;Poor;11;0.006843606;0.008463802;0.003955744;0.00085013;5.72E-05;0.002160054;7.00;6;7.838754;0.77;1.17;0.09;13.43
XER;2008;Poor;419;0.009006558;0.011520098;0.004052438;0.001539431;0.00023096;0.003824848;12.00;6;0;10.17;4.92;5.02;890.39
TPL;2014;Poor;11;0.010767813;0.013937682;0.00511083;0.000985722;8.93E-06;0.002606649;10.00;6;65.5061768;1.98;2.01;0.05;6.99
NAP;2014;Poor;65;0.008758019;-0.002275088;0.030256541;0.001025172;0.000856195;0.00130558;20.00;12;0.397308092;0.4;0.52;0.02;1.51
NAP;2014;Poor;256;0.006839853;0.00853666;0.003533546;0.000829414;0.001064901;0.000438637;47.00;27;0;0.09;0.25;0;1.5
NPL;2014;Poor;508;0.00854986;0.004299889;0.018514419;0.000933528;0.001248234;0.000411291;39.00;31;3.452009134;0.28;0.75;0.03;2.22
XER;2013;Poor;447;0.007024168;0.007455825;0.00625748;0.001056143;0.001366659;0.000500116;51.00;27;0.046255019;0.2;0.81;0.01;2.57
XER;2013;Poor;305;0.006934111;0.004899141;0.010548527;0.000955676;0.001161266;0.000587537;33.00;25;0.050309136;0.1;0.56;0;0.16
XER;2013;Poor;386;0.007577125;0.009569019;0.00403922;0.001060509;0.001254642;0.000712886;27.00;21;0.044304207;0.2;0.81;0.01;2.67
NPL;2014;Poor;22;0.007808219;0.003785084;0.014247718;0.001034262;-0.000448015;0.003494009;3.00;3;10.93377945;0.37;0.71;0.02;1.72
XER;2014;Poor;6;0.009614425;0.009983536;0.009014762;0.001130631;-0.0004157;0.003696673;2.00;2;0;0.17;0.92;0.02;0.39
NPL;2014;Poor;108;0.008481589;0.008815625;0.007938911;0.000978414;0.001042643;0.000871829;20.00;16;0.203312437;0.14;0.99;0;0.56
XER;2014;Poor;35;0.00834908;0.00791527;0.009053855;0.000870882;0.000612528;0.001299605;33.00;13;0.273347148;0.14;0.82;0.01;0.62
CPL;2009;Poor;39;0.006771888;0.006914935;0.006501697;0.000862818;0.000341823;0.001723475;9.00;8;0;1.6;1.4;0;2.15
CPL;2009;Poor;44;0.006051799;0.00759034;0.00314575;0.000818427;0.000446495;0.00143284;28.00;10;88.01282518;0.29;1.84;0;8.63
WMT;2008;Poor;469;0.009691329;0.011442638;0.008325641;0.001292274;0.001671736;0.000629494;25.00;25;2.363849374;0.5;1.4;0.05;3.25
SPL;2008;Poor;701;0.009488322;0.013453913;0.006395913;0.001184237;0.001264421;0.001044184;56.00;42;0.674046;0.13;0.58;0.01;1.7
UMW;2009;Poor;255;0.011214107;0.008584543;0.016164949;0.000707095;0.000895271;0.000396237;33.00;25;36.143951;1.69;1.54;0.29;29.14
TPL;2008;Poor;566;0.004613099;0.002990803;0.006587751;0.001194225;0.001518781;0.000627343;62.00;34;62.74653424;1.86;1.88;0.29;22.73
CPL;2009;Poor;67;0.013155095;0.011404814;0.017139059;0.000816255;0.00085912;0.000745443;32.00;16;55.32411642;0.7;1.28;0.06;12.18
NPL;2008;Poor;320;0.009090524;0.009332646;0.00873614;0.001215476;0.001560242;0.000613297;42.00;34;33.18282;0.25;1.18;0;0.92
NPL;2009;Poor;861;0.014641937;0.004262124;0.0394463;0.000832732;0.000938605;0.000657835;21.00;17;31.29531;0.64;1.4;0.08;3.32
SPL;2009;Poor;203;0.012785515;0.009744368;0.020052862;0.000692853;0.000854637;0.000425594;30.00;24;14.45248;0.37;0.71;0.03;1.23
NPL;2008;Poor;552;0.008813997;0.009003487;0.008449506;0.001172307;0.000998691;0.001475551;76.00;48;18.06208;0.25;0.67;0.01;0.61
NPL;2008;Poor;628;0.008583597;0.005793776;0.013853105;0.001214216;0.001555484;0.000618148;30.00;26;0;0.08;0.94;0;0.37
TPL;2013;Poor;383;0.013209548;0.013064828;0.013436367;0.00054796;0.001162836;0.000563191;66.00;26;93.38842975;1.54;1.62;0.18;10.4
TPL;2013;Poor;414;0.01170982;0.013960469;0.008182371;0.000509624;0.001008609;0.000732374;24.00;22;93.30748198;1.41;1.46;0.12;5.6
NPL;2014;Poor;98;0.005761131;0.006018609;0.005091005;0.000913778;0.000857156;0.001007739;17.00;15;42.67306171;0.25;1.11;0.01;0.55
NPL;2014;Poor;5;0.008729312;0.003958469;0.016365605;0.001158305;-0.000337165;0.003639944;2.00;2;59.96863759;0.36;0.72;0.02;1.76
SPL;2013;Poor;62;0.016039382;0.020194367;0.007787561;0.001176228;0.000410884;0.002546693;11.00;9;0;46.81;8.8;26.43;866.1
UMW;2013;Poor;5;0.011219441;0.010526313;0.012404266;0.00138782;-0.000548215;0.004854585;2.00;2;53.82277671;0.7;1.91;0.02;6.36
CPL;2014;Poor;79;0.009072966;0.007579247;0.011738672;0.000973573;0.000916967;0.001067508;16.00;14;19.00627357;3.72;2.11;0.68;74.77
NPL;2009;Poor;683;0.01021974;0.011798424;0.006447199;0.000778642;0.001042494;0.000342771;58.00;28;26.46103;0.22;1.25;0;0.72
XER;2009;Poor;120;0.003829481;0.003554588;0.004304524;0.000939071;0.000282371;0.002023906;6.00;6;0.7636985;0.45;0.91;0.07;7.63
NPL;2009;Poor;167;0.008065214;0.008110877;0.007998268;0.000733489;0.000817292;0.000595049;30.00;19;19.35989;0.28;0.8;0.02;1.22
NPL;2009;Poor;228;0.006795961;0.00827804;0.004623142;0.000710968;0.000908387;0.000384841;54.00;29;0.1500776;0.15;1.02;0.01;0.61
SAP;2008;Poor;210;0.011699792;0.002658187;0.029091689;0.001412526;0.001783642;0.000764321;38.00;22;0;0.89;4.35;0.14;52.53
XER;2009;Poor;549;0.007677305;0.009283395;0.004814588;0.000696526;0.000812824;0.000504408;43.00;35;0.1935473;0.36;1.29;0.04;4.47
UMW;2009;Poor;62;0.009064174;0.011445405;0.004819834;0.000806455;0.00101619;0.000459984;33.00;21;40.97278;0.84;1.35;0.08;10.83
NPL;2008;Poor;180;0.009634227;0.012002388;0.004966645;0.000639405;0.001884934;0.000536641;36.00;26;0;0.08;0.59;0;0.19
NPL;2014;Poor;293;0.008478358;0.003370809;0.020453612;0.000926826;0.000892719;0.000983424;30.00;15;28.99349482;0.35;0.71;0.01;0.65
WMT;2014;Poor;137;0.010922091;0.013149343;0.005310594;0.000947544;0.000986118;0.000883531;52.00;16;0.579841747;0.62;2.07;0;0.51
TPL;2014;Poor;11;0.007747216;0.009174591;0.005462534;0.001057771;0.000193837;0.002491416;8.00;6;58.79075999;0.49;1.19;0.05;3.12
NPL;2014;Poor;377;0.008744429;0.011383712;0.004519947;0.000771551;0.000860192;0.000624457;24.00;21;5.213595393;0.19;0.46;0;0.18
SPL;2014;Poor;564;0.007784645;0.009702989;0.00471411;0.001162303;-0.000594008;0.004076792;1.00;1;2.932741862;0.15;1.07;0.01;0.4
NPL;2009;Poor;270;0.00683817;0.008043015;0.004453762;0.000775819;0.000962448;0.000467516;59.00;35;36.72453443;0.25;0.55;0;0.53
SAP;2013;Poor;326;0.01301047;0.016109889;0.007076565;0.001099101;0.001440098;0.000488495;44.00;27;0;0.62;0.69;0;8.5
CPL;2013;Poor;32;0.010003083;0.013419006;0.004685525;0.001278074;0.00047812;0.002710514;16.00;8;64.84681385;1.48;1.6;0.24;20.05
XER;2014;Poor;22;0.011545343;0.01357052;0.007725099;0.000964898;0.000725933;0.001361446;55.00;12;0.004143234;0.28;0.64;0.01;3.97
NAP;2014;Poor;183;0.009399936;0.010677529;0.007119929;0.000886098;0.000860143;0.000929167;20.00;16;0.944676121;3.18;2.01;0.59;77.39
XER;2009;Poor;31;0.006566793;0.008463864;0.002983541;0.000966689;-0.000338554;0.003122882;2.00;2;0.196113082;3.75;1.92;0.65;112.96
SPL;2009;Poor;45;0.00921898;0.008946201;0.009839874;0.000858019;0.000770026;0.001003379;44.00;13;44.33132032;0.14;0.67;0.01;0.63
CPL;2008;Poor;4;0.004761372;0.005909523;0.003363847;0.001621087;-0.000576448;0.005459372;2.00;2;27.69374042;1.44;1.44;0.25;27.13
UMW;2009;Poor;363;0.014571203;0.01745962;0.00882936;0.000768277;0.001009277;0.000370156;38.00;30;0.301862741;0.3;0.59;0.01;1.03
NPL;2009;Poor;240;0.008268054;0.006940387;0.010895529;0.000740655;0.000969748;0.000362204;47.00;27;57.77941;0.25;0.88;0;1.14
SPL;2009;Poor;488;0.004415175;0.003972755;0.005179718;0.000730955;0.000909752;0.000435592;54.00;33;1.944011;0.56;0.85;0.03;5.17
XER;2009;Poor;332;0.003900971;0.005008186;0.001987596;0.000716889;0.00083531;0.000521262;46.00;36;0.1788388;0.17;0.81;0;0.05
UMW;2009;Poor;157;0.00479644;0.001710678;0.010128938;0.000731928;0.000952195;0.000368057;28.00;26;0;0.09;0.28;0;0.91
NPL;2009;Poor;418;0.006855669;0.00758953;0.005779785;0.000686713;0.000845767;0.000423966;30.00;24;0.09945479;0.2;0.6;0.02;0.18
TPL;2014;Poor;492;0.008866624;0.010824284;0.005372964;0.000870978;0.001048547;0.000576313;25.00;21;89.76978918;1.03;1.45;0.07;6.88
NAP;2014;Poor;238;0.007327935;0.009411959;0.003267118;0.000834451;0.000445198;0.001480394;79.00;57;0.00228819;0.24;0.4;0.01;0.09
TPL;2014;Poor;3;0.007609667;0.009202748;0.003874501;0.001056748;-0.000380303;0.003441446;5.00;3;62.56577891;0.77;1.31;0.09;6.8
NPL;2014;Poor;69;0.005093115;0.005873381;0.003062354;0.001002528;0.000600349;0.001669918;18.00;10;4.326050098;0.17;0.81;0;0.21
XER;2014;Poor;496;0.009735559;0.012556746;0.003849925;0.000795951;0.000975398;0.000498171;45.00;32;0.126191462;0.39;1.49;0.01;21.66
CPL;2008;Poor;6;0.004006174;0.003259119;0.004915487;0.001553031;-0.000462042;0.005072621;3.00;3;27.65739944;1.44;1.45;0.25;27.12
CPL;2013;Poor;10;0.008394454;0.01005831;0.005804333;0.001183437;7.73E-05;0.003164103;18.00;7;29.45066892;1.56;1.45;0.28;28.84
SAP;2013;Poor;487;0.01221402;-0.004945726;0.038926556;0.000940639;0.001038771;0.00076492;41.00;36;0;0.13;1.05;0;2.09
CPL;2013;Poor;3;0.008732923;0.011558853;0.004333804;0.001293131;-0.000535269;0.004567158;5.00;3;29.41636608;1.57;1.45;0.28;29.05
CPL;2014;Poor;136;0.008860226;0.010773759;0.005445314;0.000772472;0.001248665;0.000514146;41.00;21;0.006712761;36.9;8.72;5.9;1625.69
CPL;2009;Poor;287;0.007224621;0.006529295;0.008393324;0.000723267;0.00092701;0.000386695;31.00;25;61.93147666;0.96;1.21;0.12;52.04
CPL;2009;Poor;100;0.006846948;0.00845024;0.004152136;0.000961426;0.000679428;0.001427271;10.00;9;6.713505074;8.04;6.97;0.55;99.29
UMW;2008;Poor;300;0.003669168;0.004733622;0.002373519;0.001164464;0.001267187;0.000985044;48.00;41;16.2203348;1.18;1.3;0.18;14.67
CPL;2008;Poor;20;0.00490716;0.002961543;0.007275356;0.001348506;0.000793186;0.002318445;50.00;12;28.87447706;1.51;1.45;0.26;28.85
CPL;2008;Poor;103;0.00472694;0.007013673;0.001943538;0.001489185;0.000332957;0.003508691;10.00;7;27.7638941;1.43;1.45;0.25;26.99
TPL;2009;Poor;135;0.004649988;0.005764765;0.002723544;0.000754715;0.000991951;0.000362813;41.00;29;6.688468426;0.28;0.84;0;2.08
SPL;2008;Poor;317;0.012849468;-0.005262116;0.047687837;0.001123757;0.001429691;0.000589403;35.00;31;55.40771;5.01;2.61;1.08;35.25
XER;2008;Poor;72;0.009185743;0.011326918;0.004965544;0.001269634;0.000969171;0.001794432;27.00;15;0.9365165;0.29;0.72;0.01;0.48
XER;2014;Poor;251;0.010625144;0.012505813;0.005169614;0.000875393;0.000989028;0.000686824;22.00;19;39.38689008;0.71;1.01;0.01;2.14
NAP;2014;Poor;131;0.009038525;0.010192102;0.006790727;0.000911514;0.001174141;0.000475701;52.00;34;2.505362551;0.52;1.17;0.03;0.52
CPL;2014;Poor;182;0.00850304;0.010902452;0.002877332;0.000580035;0.001059526;0.000848123;37.00;16;92.66221953;0.56;1.58;0.02;5.53
NPL;2014;Poor;447;0.007498024;0.009317478;0.003232099;0.000920814;0.001147207;0.000545128;29.00;21;6.48961895;0.21;0.52;0;0.15
SPL;2014;Poor;197;0.014735932;0.015533482;0.013231455;0.000929462;0.000541642;0.001573025;12.00;11;0.412333999;5.4;2.43;1.44;181.15
CPL;2009;Poor;112;0.008127944;0.009838078;0.005253552;0.000846569;0.00096396;0.000652647;25.00;17;17.72875817;1.49;2.03;0;37.42
UMW;2008;Poor;399;0.011511091;0.004622413;0.016882952;0.001159046;0.001470636;0.000614811;52.00;27;71.69266489;1.68;1.51;0.05;6.07
TPL;2008;Poor;728;0.010397633;0.014932031;0.006861664;0.00111404;0.001299018;0.000790952;43.00;37;26.65595407;0.47;1.14;0;4.53
TPL;2009;Poor;62;0.010570835;0.010593035;0.010529038;0.000800623;0.000775921;0.00084143;17.00;15;65.97144232;1.92;2.01;0;6.99
CPL;2008;Poor;530;0.004193913;0.00550723;0.002595349;0.001443226;0.001588735;0.001189075;50.00;18;0;0;1.31;0;8.7
NPL;2008;Poor;607;0.004278164;0.006039209;0.002134627;0.001109352;0.000720022;0.001789368;63.00;52;0.813453864;0.08;0.87;0;0.4
NPL;2008;Poor;808;0.010342972;0.012714519;0.006871825;0.001099592;0.001144972;0.001020329;49.00;41;39.98674;0.6;1.46;0.04;3.57
NPL;2009;Poor;592;0.012148638;0.014591331;0.006311402;0.00069463;0.000666505;0.000741092;66.00;42;43.92987;0.97;1.63;0.09;7.62
SPL;2008;Poor;952;0.010411711;0.011207541;0.0088809;0.001139918;0.001461502;0.000578229;40.00;30;56.97853;0.52;1.57;0.02;2.34
NPL;2008;Poor;291;0.009477681;0.010346099;0.007807244;0.001121503;0.001426081;0.000589517;48.00;31;0.6072118;0.18;0.93;0.01;0.8
NAP;2014;Poor;63;0.007301459;0.007931726;0.006073356;0.000762219;0.000879842;0.001098918;20.00;14;0;35.76;10.57;1.87;952.85
NAP;2014;Poor;113;0.007388832;0.009516708;0.003242569;0.000791572;0.000995889;0.00045252;70.00;28;0.335145423;0.38;0.5;0.02;1.29
CPL;2014;Poor;4;0.007038092;0.008590103;0.003399219;0.001047033;-0.000195746;0.003109349;9.00;4;28.14715827;1.5;1.44;0.27;27.14
TPL;2014;Poor;5;0.004956356;0.005462569;0.003638861;0.001129207;-0.000184531;0.003309273;3.00;3;20.373112;0.37;0.84;0.04;2.83
SPL;2013;Poor;10;0.007737064;0.010447666;0.003753792;0.001263426;-0.000121258;0.003742914;9.00;5;83.68465966;0.74;1.39;0.07;2.41
SPL;2014;Poor;376;0.006187805;0.007455859;0.0028875;0.00095069;0.001280776;0.000402933;38.00;25;0.010222755;0.08;0.92;0;2.35
NAP;2013;Poor;164;0.009970421;0.013697027;0.003351404;0.001120418;0.001432404;0.00056176;41.00;33;1.173529122;2.3;1.49;0.66;24.93
NAP;2013;Poor;472;0.009593815;0.001552235;0.019334999;0.000967928;0.000760479;0.001339397;51.00;46;3.740563956;1.32;1.77;0.21;33.68
TPL;2014;Poor;48;0.008500858;0.011135303;0.004284121;0.000874093;0.000628735;0.00128125;19.00;13;60.62866556;0.48;1.18;0.05;2.96
TPL;2013;Poor;289;0.008387551;0.00975752;0.006728036;0.001064302;0.000700799;0.00171521;28.00;13;77.13618561;0.25;1.32;0.01;0.95
CPL;2013;Poor;6;0.007900707;0.010104762;0.00446966;0.001346134;-0.000987392;0.005524665;1.00;1;29.43048538;1.56;1.45;0.28;28.82
SPL;2009;Poor;1;0.008598495;0.0068097;0.011605101;0.000996115;-0.00049547;0.003460138;1.00;1;20.7979149;0.48;0.76;0.05;0.74
TPL;2009;Poor;113;0.012313833;0.0149819;0.007290499;0.000749207;0.000981345;0.000365727;40.00;28;73.97442927;1.23;1.5;0.22;19.48
TPL;2008;Poor;716;0.009049033;0.011254475;0.007329207;0.001198158;0.000603043;0.002237606;13.00;13;71.35186355;0.97;1;0;3.66
UMW;2009;Poor;239;0.013030373;0.012330521;0.0144216;0.000731579;0.000913436;0.000431161;26.00;23;33.9433294;4.57;1.43;0.18;122.82
TPL;2009;Poor;185;0.009836299;0.00218622;0.024975922;0.0007502;0.000865062;0.000560454;52.00;38;38.29967893;0.89;1.96;0;18.2
NPL;2009;Poor;306;0.010716502;0.012840388;0.005641108;0.00071063;0.000900682;0.000396675;45.00;30;5.664761;0.17;0.81;0;0.22
SPL;2009;Poor;90;0.01081411;0.01213652;0.007653982;0.000749937;0.000878961;0.000536797;45.00;20;13.98732;1.06;1.21;0.21;26.46
SPL;2009;Poor;208;0.004720071;0.002000478;0.009419792;0.000783857;0.000915498;0.000566392;21.00;19;28.83041;1.17;1.44;0.27;16.37
XER;2009;Poor;192;0.003996206;0.00511474;0.002063272;0.000818906;0.000811222;0.0008316;18.00;15;0.8711066;0.16;0.86;0.01;1.81
NPL;2009;Poor;595;0.008659254;-0.002545016;0.025085392;0.000736796;0.000951948;0.000381375;33.00;25;37.18005;0.52;1.16;0.05;3.71
NPL;2009;Poor;594;0.00795987;-0.001408316;0.021694199;0.000708069;0.000853139;0.000468421;22.00;22;0.8587555;0.2;0.29;0.01;0.21
XER;2009;Poor;256;0.007101795;0.006607481;0.007982869;0.000772985;0.001013048;0.000376414;61.00;31;3.829702;0.51;1.28;0.03;3.39
XER;2009;Poor;849;0.00758716;0.008566006;0.00584245;0.000798142;0.001054336;0.000374923;30.00;24;1.276104;0.31;0.58;0;0.59
TPL;2014;Poor;120;0.007598828;0.009064361;0.00474317;0.000796846;0.000930274;0.00057543;57.00;35;25.79823495;7.02;2.71;1.59;158.54
XER;2013;Poor;280;0.006744361;0.008213641;0.004134698;0.001040638;0.001255546;0.000655814;24.00;22;0.021923436;0.28;0.9;0.01;3.33
SPL;2013;Poor;105;0.007192236;0.008897586;0.005126456;0.001241581;0.000951455;0.001761094;12.00;12;5.094326462;0.3;1.08;0.04;2.77
WMT;2014;Poor;161;0.01167967;0.009331273;0.017596391;0.001028135;0.001026152;0.001031427;20.00;14;0.555885887;0.62;2.07;0;0.5
TPL;2013;Poor;192;0.010822333;0.0023992;0.021025713;0.001043613;0.001322262;0.000544649;33.00;25;52.23941099;0.32;0.93;0.02;1.22
SPL;2014;Poor;480;0.007800166;0.00930131;0.005397409;0.000891223;0.000930494;0.000826055;29.00;17;0;0;1.17;0;2.87
NPL;2014;Poor;367;0.010123444;0.012543819;0.006191274;0.00098857;0.00127305;0.000516491;33.00;21;0.085297932;0.14;0.92;0;0.34
CPL;2014;Poor;46;0.008423752;0.010350786;0.004403523;0.000884098;0.000791147;0.001038344;25.00;15;4.741059206;0.88;1.18;0.11;13.98
WMT;2008;Poor;210;0.009345066;0.010345621;0.008564823;0.001217732;0.000873647;0.001818722;15.00;15;1.487906542;0.31;1.01;0.01;1.78
TPL;2009;Poor;119;0.011280019;0.014375087;0.005452744;0.000798294;0.001023097;0.000426932;26.00;22;81.03613555;1.2;1.41;0.15;11.54
UMW;2009;Poor;4;0.01210913;0.015979747;0.004821681;0.000972106;6.14E-05;0.002476613;9.00;4;77.53535299;1.27;1.42;0.09;6.21
XER;2009;Poor;724;0.011643224;0.014922923;0.005468332;0.000726933;0.000589966;0.000953197;64.00;48;0.072938372;0.07;0.93;0;0.09
UMW;2008;Poor;168;0.004300401;0.004457043;0.004109736;0.001140698;0.001454497;0.000592608;42.00;28;54.55255289;2.81;1.92;0.47;42.15
SPL;2009;Poor;170;0.01048451;0.013117271;0.004491863;0.000666042;0.000716447;0.000582776;38.00;20;51.22726617;0.18;0.74;0.01;0.51
TPL;2009;Poor;62;0.020344802;0.027204637;0.006708235;0.000640254;0.000401958;0.001564297;11.00;9;0.048148888;56.43;11.29;21.05;1607.99
NPL;2008;Poor;787;0.011834448;0.007467294;0.018226492;0.001142919;0.001255804;0.000945751;46.00;40;39.24366;0.42;1.34;0.01;0.54
NPL;2009;Poor;524;0.013048566;0.016222023;0.005465042;0.00068447;0.000805277;0.000484904;42.00;34;22.75748;0.35;1.01;0.03;1.31
NPL;2009;Poor;822;0.011763465;0.014506443;0.005208645;0.000648688;0.000793718;0.000409106;31.00;29;42.42281;0.29;1.38;0;0.98
SPL;2009;Poor;496;0.011041104;0.008271887;0.017658629;0.000855656;0.000931865;0.000729762;48.00;16;0.1397514;0.08;0.25;0;0.12
SAP;2008;Poor;905;0.009700288;0.011857278;0.005551229;0.001170163;0.001481638;0.000626131;37.00;34;0;0.29;1.4;0;3.87
NPL;2009;Poor;226;0.005956657;0.007380441;0.003869302;0.000732774;0.000936177;0.000396762;51.00;31;0.1419826;0.15;1.01;0.01;0.62
WMT;2009;Poor;213;0.008379778;0.008455908;0.008244083;0.00075365;0.000770137;0.000726413;45.00;17;0.9824709;0.41;1.08;0.03;0.77
TPL;2013;Poor;492;0.013889723;0.018585924;0.006529353;0.000983619;0.001237137;0.000529655;39.00;28;30.39699955;2.53;2.31;0.16;55.42
NPL;2013;Poor;94;0.00720771;0.008640359;0.005102409;0.001055303;0.001343147;0.000539875;49.00;25;0.203983681;0.14;0.74;0;0.69
XER;2013;Poor;408;0.008115119;0.002190283;0.018638525;0.000967285;0.001173204;0.000598557;53.00;32;0.32905249;1.19;0.94;0.16;15.62
CPL;2014;Poor;58;0.008292275;0.010783547;0.004304701;0.001036927;0.000440664;0.002026387;9.00;8;12.78059377;2.04;2.04;0.04;5.87
SPL;2014;Poor;220;0.00916374;0.007123704;0.012429057;0.001037336;0.000293389;0.002271868;10.00;7;4.052529031;0.16;0.94;0.01;1.03
NAP;2014;Poor;466;0.006613536;0.007336521;0.005204767;0.000871491;0.000580405;0.001354531;87.00;55;0;0.18;0.48;0.01;0.43
NPL;2014;Poor;160;0.005030569;0.005640183;0.003443956;0.000912671;0.001018001;0.000737884;21.00;18;13.42314381;0.29;0.77;0.02;1.9
UMW;2009;Poor;496;0.016969161;0.012210121;0.02642959;0.000855849;0.001176294;0.000326491;55.00;25;0;1.37;1.22;0;1.59
XER;2014;Poor;114;0.005524865;0.006782526;0.002251611;0.000885924;0.000793671;0.001039011;27.00;15;2.082962761;1.05;1.33;0.16;27.39
XER;2014;Poor;119;0.011080003;0.013674417;0.006185966;0.000907171;0.000761257;0.001149305;32.00;14;1.401532088;0.66;0.94;0.07;7.73
SAP;2009;Poor;383;0.006479306;0.002911616;0.013218079;0.000790379;0.000880499;0.000641504;69.00;41;0;0.01;0.53;0;40.22
CPL;2008;Poor;576;0.009453254;0.013353757;0.006411603;0.001321583;0.001497388;0.001014516;40.00;20;41.96018377;1.95;2.5;0.05;29.42
TPL;2009;Poor;130;0.010845738;0.011884503;0.00888999;0.000792344;0.001062134;0.000346665;50.00;28;77.41951867;2.03;1.73;0.27;33.96
TPL;2009;Poor;15;0.017914822;0.007631878;0.038356136;0.000858798;0.000208748;0.001932647;16.00;7;48.46691866;3.14;1.9;0.56;55.78
